 	non	sono	ancora	vestita	</S>
a31	0.29749763	0.682141	0.014935478	0.0025986983	0.002827173
a23	0.14269666	0.049822677	0.80521226	0.00226787	5.9581066e-07
a31	0.8708296	0.12843622	0.0006618906	2.6621356e-05	4.577126e-05
a7	0.78259444	0.17151386	0.036006622	0.00983419	5.0968407e-05
a31	0.99243295	0.00734647	0.00016000483	4.147829e-05	1.9024475e-05
a13	0.97087896	0.011575994	0.005282072	0.01213865	0.00012431214
a31	0.992126	0.0013145689	0.00015773096	0.0062774112	0.00012416829
a37	0.87708384	0.005597128	0.0062824907	0.10496413	0.006072405
a18	0.012515584	0.0004201904	0.010535737	0.9732894	0.00323911
a31	0.0016165305	1.8350454e-05	0.0076590064	0.97907984	0.0116263
a46	0.011999917	0.0017865787	0.010665875	0.7340633	0.24148424
a8	0.00031086977	7.348876e-05	0.06539209	0.93339247	0.0008310251
</S>	5.3757078e-05	5.8737387e-05	0.013719486	0.9850612	0.0011067674
