 	se	la	pasta	voleva	sale	lo	avevo	messo	</S>
a8	0.27664602	0.20341153	0.0019227694	0.00015823971	0.005431966	0.31223696	0.19844782	0.001694565	5.0154562e-05
a20	0.028597962	0.7436033	0.22689873	0.00085556414	6.4140573e-07	3.9597e-09	2.3804776e-05	7.483433e-07	1.9283047e-05
a31	0.09405578	0.8006911	0.09584869	0.00248078	2.3745115e-05	4.2846662e-07	0.0025691811	0.0013373472	0.0029929841
a8	0.22867277	0.64003557	0.07370624	0.027338604	0.001253611	3.811584e-05	0.019201182	0.008043263	0.001710634
a20	0.93092316	0.01346988	2.254966e-05	1.4149488e-05	0.00025371273	0.00027618793	0.019723333	0.03413326	0.0011838345
a31	0.9748071	0.0044253897	2.0112135e-05	7.331174e-06	6.750465e-06	1.7355313e-05	0.0011411152	0.015782006	0.0037929008
a24	0.9729187	0.014843007	0.0010465548	0.0014877777	0.000115441995	4.341793e-05	0.006112717	0.0031593093	0.00027311483
a46	0.97806084	0.012724824	0.0010278224	0.00052221253	9.449624e-05	0.00010187132	0.004783309	0.0021434901	0.00054112176
a10	0.81609297	0.009707697	0.0003075083	0.00016180104	0.001328975	0.004968914	0.049966402	0.11510936	0.002356389
a8	0.13005778	0.01058077	0.0007664607	0.00012845395	0.0032481533	0.1372245	0.22021724	0.496718	0.0010586603
a31	0.23929407	0.0322148	0.0024137541	0.00036601897	0.00198286	0.34956533	0.3607381	0.013288657	0.00013642895
a46	0.0067787804	0.0031830005	0.0010266432	0.00021597122	0.011362209	0.56030136	0.41508254	0.001928109	0.00012137588
a3	0.23873642	0.09604787	0.025795422	0.0061455625	0.0012069186	0.51963013	0.0805843	0.029622657	0.002230764
a18	0.2627269	0.14587715	0.04282631	0.010620391	0.003785297	0.33435762	0.17868052	0.018333992	0.0027917633
a31	0.15376233	0.10269105	0.03832948	0.020833535	0.009132381	0.306524	0.3081507	0.039761823	0.020814719
a10	0.08808805	0.14575742	0.03561242	0.009104584	0.012419771	0.48024848	0.16114178	0.016416973	0.05121048
a20	0.26567975	0.14806283	0.06893518	0.051551662	0.005006174	0.24418001	0.10571044	0.08494425	0.025929678
a35	0.19149686	0.10242711	0.028248563	0.019316148	0.0086787725	0.32873812	0.2570004	0.051036812	0.013057189
a8	0.07787974	0.060016647	0.028213434	0.018277077	0.018842367	0.36319843	0.2898234	0.08583045	0.057918433
a31	0.030170187	0.032950997	0.019704519	0.016369587	0.024890207	0.36231393	0.3148066	0.106495515	0.09229851
a24	0.09318819	0.22676034	0.055611365	0.012384857	0.0074023353	0.08328184	0.07452198	0.05569947	0.39114964
a8	0.17379868	0.09226611	0.013422521	0.018807905	0.0057602013	0.14169784	0.27568305	0.17735082	0.101212904
a0	0.04938693	0.04740195	0.03265572	0.01388902	0.02159319	0.32657573	0.19690727	0.19741963	0.11417058
a31	0.028990982	0.027829483	0.008982615	0.0114144245	0.011926083	0.18201005	0.2984007	0.23391314	0.19653253
a18	0.051422	0.1835106	0.06049252	0.01261894	0.006515372	0.056285195	0.037410587	0.06437639	0.52736837
a31	0.11938282	0.060031515	0.014012421	0.01241723	0.0069514853	0.11469334	0.18147062	0.28538826	0.20565236
a17	0.03862419	0.1595846	0.06859172	0.013279877	0.008130424	0.07948603	0.033187807	0.06966032	0.529455
a8	0.08400071	0.036381204	0.010607759	0.010952023	0.0065798014	0.09532817	0.1361038	0.36271197	0.25733453
a31	0.00997278	0.011462344	0.010187578	0.007420023	0.0141635705	0.16552016	0.14797537	0.39168814	0.24161004
</S>	0.010466697	0.043130208	0.020546084	0.009509827	0.008751476	0.042879622	0.032057337	0.07113798	0.76152074
