 	il	dito	si	gonfiò	</S>
a39	0.40548232	0.5516224	0.038347278	0.00026717677	0.0042807846
a13	0.6679747	0.32729384	0.0046267	4.628494e-06	0.00010018501
a31	0.92729026	0.07197473	0.0005347284	1.1916927e-05	0.00018837649
a20	0.6459386	0.27304527	0.0759545	0.0049114036	0.00015022731
a31	0.9949852	0.0028562753	0.0007536404	0.00027877357	0.0011260727
a11	0.5965951	0.036974035	0.08015619	0.23421825	0.052056298
a31	0.9824996	0.005162349	0.0035671028	0.0037524935	0.005018502
a39	0.322814	0.023673343	0.38404626	0.14066777	0.12879866
a31	0.057220604	0.0034633258	0.029788228	0.889563	0.019964797
a41	0.70567757	0.019549964	0.017923757	0.078954846	0.17789388
a46	0.119677305	0.025151962	0.03814032	0.810534	0.006496366
a31	0.054263417	0.0123811755	0.036228467	0.8714644	0.025662601
</S>	0.011438132	0.04570238	0.014976182	0.16317822	0.76470506
