 	se	nella	nella	pasta	voleva	sale	l	avevo	messo	</S>
a31	0.20576914	0.61733043	0.14573981	0.0016785549	0.00011927519	0.0038546755	0.00845862	0.016882105	0.00016494955	2.486022e-06
a39	0.01121543	0.97022915	0.017704632	0.00025765097	0.00057671167	3.234243e-07	3.4481747e-08	3.3751503e-06	8.827143e-06	3.834378e-06
a31	0.69394267	0.25048262	0.04978059	0.00211053	0.000100100944	1.9382915e-06	4.4197216e-07	0.00062320224	0.0012281794	0.0017296791
a14	0.10681901	0.73059297	0.15744604	0.004070052	0.00018521065	1.4358806e-06	2.2011608e-07	0.00017808171	0.00057617394	0.00013074453
a41	0.8455896	0.13189246	0.010408837	0.00026187985	3.8982136e-05	2.083838e-06	6.4177823e-07	0.0023978208	0.0036511794	0.0057565407
a33	0.9099374	0.04517282	0.0032602504	0.000119301745	3.7537706e-05	2.691785e-06	1.2662526e-06	0.002045182	0.011127397	0.028296173
a20	0.91692126	0.00034953194	9.082651e-05	4.0115003e-05	2.005183e-05	0.0009009051	0.0010280862	0.028001878	0.052190267	0.00045706794
a31	0.99095696	0.0005880418	6.6380504e-05	9.5636115e-06	5.841974e-07	2.1946676e-05	5.5447545e-05	0.0016417453	0.0065388596	0.00012051579
a10	0.9680226	0.001626424	0.0006373953	0.0012737212	0.0003933631	0.0012997012	0.0005789684	0.01963534	0.00554737	0.0009849959
a31	0.9059796	0.017126922	0.0065880874	0.00082662876	6.58759e-05	0.00035554759	0.015657535	0.013836564	0.03829175	0.0012714653
a46	0.06550719	0.0011563638	0.00044154187	7.8722915e-05	0.0011865796	0.1888662	0.24447024	0.4793132	0.017242683	0.0017372094
a31	0.75109446	0.030820472	0.007284346	0.0021982465	0.0042944783	0.005386326	0.12395831	0.0517499	0.021643331	0.0015701749
a39	0.018954273	0.005848093	0.0050341794	0.00014473878	0.0018848203	0.16883533	0.33644676	0.45147488	0.0072903587	0.004086608
a28	0.66588336	0.065945975	0.01577384	0.0070572128	0.03423069	0.020790951	0.10780162	0.042103045	0.029480798	0.010932594
a21	0.7839873	0.055012405	0.012927927	0.0027529045	0.014678636	0.01858768	0.047679897	0.044410374	0.013926728	0.0060362658
a24	0.7460786	0.07670174	0.027084785	0.002825345	0.011360598	0.015980909	0.037568588	0.04137316	0.019365411	0.021660866
a46	0.8753893	0.07711592	0.017027998	0.0008704518	0.0016452963	0.0032676158	0.005547725	0.0086050145	0.0036542758	0.0068764864
a20	0.7040392	0.1751721	0.047444895	0.0017546151	0.0031628464	0.009194323	0.011556729	0.023120238	0.010039233	0.014515816
a31	0.7017728	0.19968161	0.04575472	0.001641641	0.0022355272	0.0057226815	0.0067322557	0.013082346	0.008232681	0.0151437195
a14	0.22477704	0.26777226	0.38388005	0.008121	0.0007596096	0.0061309985	0.014811253	0.042050406	0.014549386	0.037148017
a17	0.5663919	0.28039503	0.05904956	0.003798907	0.0038521164	0.006156575	0.01052183	0.0125860665	0.027408037	0.02983991
a31	0.46690384	0.2836166	0.06653693	0.0046470976	0.005122764	0.01197615	0.02214101	0.03377508	0.05318758	0.05209297
a11	0.085445575	0.16767894	0.24681337	0.017309198	0.004695533	0.025971698	0.07447012	0.106083386	0.05846659	0.21306552
