 	la	casa	la	costruisce	il	mastro	</S>
a20	0.053106982	0.00040949028	0.0009368036	0.05542248	0.0006652556	0.8834129	0.0060461173
a17	0.021194618	0.010338267	0.09031479	0.23462088	0.0018811562	0.5819601	0.059690222
a10	0.00011317074	5.2183495e-08	1.4179919e-06	0.025592728	1.5520374e-05	0.9734813	0.0007959018
a24	0.0006323079	5.681322e-07	3.3948302e-06	0.012254506	8.694271e-06	0.98431534	0.0027851241
a46	0.0011291194	4.096306e-07	5.682222e-06	0.029421208	3.3091487e-06	0.9632351	0.0062051844
a8	0.0041929632	2.562194e-07	5.079326e-07	0.007476455	7.8227316e-07	0.9860534	0.0022755987
a14	0.0010642804	1.3642132e-08	7.876422e-08	0.0017518566	9.4036454e-07	0.9970867	9.614114e-05
a31	0.008077796	2.7543817e-07	7.1724355e-07	0.0014782116	1.715502e-06	0.9873187	0.003122675
a20	0.0003719129	4.062483e-08	3.9478695e-05	0.85582197	1.9075782e-05	0.1430991	0.0006483898
a41	7.070014e-05	3.6662274e-07	3.891778e-05	0.00012342205	0.00018965121	0.9858203	0.013756677
a29	0.01114217	2.9845856e-05	0.0043932847	0.011771491	0.0012160571	0.7919706	0.17947651
a31	0.0018888057	2.4968185e-05	0.03654828	0.059716135	0.004028814	0.64379287	0.25400013
a30	6.202574e-05	7.2022374e-07	0.0016951252	0.9526551	0.0002753695	0.03638974	0.008921943
a31	0.008249821	4.499968e-05	0.24236731	0.021491995	0.004352718	0.2832622	0.44023097
a28	7.933697e-05	6.249287e-06	0.0026529208	0.94748324	0.0005765327	0.011481654	0.037720066
a31	0.002021225	0.00014249473	0.3694445	0.2324604	0.024260404	0.1666351	0.20503594
a17	0.00053337956	8.6525404e-05	0.0075262813	0.5820604	0.002069165	0.021025525	0.3866987
a20	0.0015672776	0.00095736893	0.16410713	0.4000148	0.07078456	0.14368454	0.21888432
a31	0.0001968253	0.00023578682	0.092182234	0.4317955	0.057512585	0.12434371	0.29373336
a20	0.0011493579	0.00023609317	0.010158552	0.094227575	0.002434509	0.017326303	0.8744676
a29	0.0016732167	0.0027690714	0.08658434	0.14420618	0.11283383	0.14828262	0.5036507
a31	0.00048018742	0.00042372837	0.08211792	0.098867394	0.042669024	0.16179627	0.61364543
</S>	0.0006306825	0.00014745136	0.007604883	0.03738178	0.0035615473	0.016677972	0.9339957
