 	l	ho	sentito	che	viene	</S>
a34	0.0032100207	0.0026265709	0.7936185	0.19568224	0.0025946847	0.002267964
a46	0.046548907	0.053702638	0.8450831	0.053692438	0.00093849684	3.4341163e-05
a41	0.030708527	0.030911433	0.8457259	0.08701295	0.0054793316	0.00016182073
a19	0.03722997	0.031343907	0.89620453	0.03200474	0.0031510286	6.58303e-05
a31	0.076413974	0.010555254	0.8790918	0.026405709	0.007292442	0.00024083794
a20	0.68898636	0.0005376457	0.27362886	0.013168034	0.01884074	0.0048384466
a31	0.09878543	0.0018602317	0.021987243	0.016510205	0.846959	0.013897903
a24	0.10987232	0.0046893163	0.2604059	0.1218084	0.4561975	0.047026597
a31	0.027184868	0.0020609056	0.08877804	0.07726356	0.7602371	0.04447557
a23	0.014029458	0.003133917	0.03903678	0.054534	0.558386	0.3308798
a20	0.017853508	0.0048497873	0.0036317483	0.035855368	0.8890956	0.04871398
</S>	0.0055893776	0.0018263292	0.0024410894	0.021267503	0.90664876	0.062226973
