 	forse	sono	usciti	</S>
a23	0.9910937	0.007883502	3.0908086e-07	0.0010224992
a31	0.9923447	0.0076461365	2.4936831e-08	9.207313e-06
a23	0.88295114	0.11694151	0.000103806036	3.539539e-06
a31	0.99242264	0.007571223	3.7761424e-08	6.1735936e-06
a10	0.97937196	0.020626353	1.3783368e-06	2.480156e-07
a37	0.9984274	0.0015711938	3.2836283e-08	1.3823518e-06
a31	0.99930716	0.0006723746	8.210219e-07	1.9704301e-05
a37	0.9772176	0.010595469	0.00059531344	0.011591721
a31	0.7232298	0.041887447	0.0011664391	0.23371632
a39	0.0021607822	0.000190468	1.0723009e-05	0.997638
a31	0.03715952	0.008615817	6.249824e-05	0.9541621
</S>	0.005452752	0.0037305767	0.00035081184	0.9904659
