 	Marika	tu	hai	mangiato	</S>
a8	0.032335024	0.96740717	2.7531462e-06	7.505803e-05	0.00018001586
a31	0.14433326	0.85566205	8.065636e-07	2.0488926e-06	1.8718592e-06
a24	0.15988863	0.8391226	0.00076674623	0.00021980659	2.325709e-06
a31	0.110126354	0.8895374	4.1589974e-06	0.00029930146	3.2756718e-05
a28	0.3434898	0.6545049	1.8618284e-05	0.0019608086	2.5827023e-05
a31	0.9049108	0.09180041	5.5436485e-05	0.0031063529	0.00012710916
a3	0.73253006	0.17201672	0.0007260922	0.09359133	0.0011358025
a18	0.57706565	0.042203244	0.0027280247	0.37236384	0.005639289
a31	0.034145344	0.003553257	0.00455653	0.95107514	0.0066697537
a23	0.06359078	0.0510032	0.0017365986	0.8711513	0.012518137
a31	0.005556143	0.0015455663	0.0017671317	0.98888844	0.002242717
a20	0.004193049	0.031160109	0.0013902895	0.88621116	0.07704541
</S>	0.008167959	0.0009144291	0.0011280563	0.98728126	0.0025082543
