 	non	so	cosa	scrive	</S>
a46	0.019814638	0.88883585	0.047628526	0.00032950906	0.043391354
a8	0.13047147	0.80384976	0.065494195	0.0001244025	6.0302784e-05
a31	0.4724489	0.5159029	0.011560275	4.276936e-05	4.5128665e-05
a13	0.10906123	0.8163608	0.07449368	8.054981e-05	3.8099745e-06
a31	0.8845628	0.11029931	0.004807798	0.00025629278	7.3680945e-05
a28	0.19870034	0.7782239	0.02304926	2.6071382e-05	4.284349e-07
a31	0.7310486	0.22932737	0.034765594	0.004807327	5.1030693e-05
a37	0.38748145	0.54663426	0.06464223	0.001199716	4.2294225e-05
a31	0.65891606	0.030922396	0.04720634	0.26220864	0.0007465763
a11	0.8959862	0.025926132	0.03112069	0.03562352	0.011343389
a31	0.14208806	0.0038322853	0.06107554	0.7847027	0.008301358
a20	0.22730117	0.016288096	0.028141426	0.089393094	0.6388762
a31	0.5221686	0.0052796	0.033506434	0.3685794	0.07046607
</S>	0.014576972	0.02147281	0.0049725464	0.018825885	0.9401518
