 	deve	essere	bianco	</S>
a31	0.9803774	0.0046362793	0.0146654295	0.0003208977
a11	0.9962698	0.00017554048	0.0035546103	5.389669e-11
a31	0.99997914	9.042026e-06	1.178275e-05	4.7846087e-09
a37	0.9982566	0.00040873495	0.0013346185	2.029559e-09
a31	0.99999726	9.43598e-07	1.7742495e-06	2.2230465e-08
a37	0.9998946	9.600525e-05	9.466752e-06	1.6073328e-08
a31	0.99826545	0.00048591517	0.00047210872	0.0007765976
a20	0.9702728	0.028912306	0.00073161384	8.3319894e-05
a31	0.98824185	0.002800571	0.00685963	0.0020980458
a0	0.779941	0.0037565324	0.21240549	0.0038969854
a31	0.001351424	7.189775e-05	0.994936	0.0036406678
a20	0.14059784	0.006575372	0.83415025	0.018676497
a18	7.011495e-05	2.7008504e-05	0.99931157	0.0005913603
</S>	0.0065089543	0.00022777553	0.9927725	0.00049079943
