 	ancora	non	mi	sono	vestito	</S>
a8	0.10864597	0.57343304	0.074012645	0.2435954	1.5867568e-05	0.00029711303
a31	0.0031124998	0.90079755	0.096079476	1.0030723e-05	2.8588907e-09	4.4112e-07
a10	0.013391626	0.87414944	0.112441316	1.6609152e-05	1.09724e-07	9.4046294e-07
a31	0.12030485	0.8693921	0.010182298	0.00011816053	6.463317e-07	2.0118807e-06
a18	0.20899878	0.62728626	0.16337381	0.00027416993	6.014486e-05	6.9210364e-06
a31	0.9574143	0.03760817	0.004701437	0.00026383475	1.0829134e-05	1.2739187e-06
a20	0.48824582	0.2076967	0.30231735	0.0006015118	0.001100474	3.8221893e-05
a31	0.42832142	0.2804331	0.074309945	0.19875266	0.018092915	9.0035566e-05
a13	0.6326727	0.08576653	0.2704962	0.007037091	0.0030318613	0.0009957259
a35	0.067059964	0.45775756	0.2895804	0.049455076	0.13377918	0.0023677456
a39	0.09234248	0.13859583	0.47523615	0.0046152878	0.15635073	0.13285959
a46	0.10347898	0.23881313	0.3414999	0.004901398	0.2904337	0.020872911
a31	0.05210221	0.14437525	0.3905751	0.00838178	0.37035164	0.034214072
a20	0.0065959804	0.1279548	0.5389806	0.22236004	0.029990079	0.074118495
a31	0.08036383	0.15864363	0.20746641	0.05958968	0.47518668	0.018749759
a39	0.0024539772	0.089693666	0.33768943	0.27523243	0.06724116	0.22768943
a31	0.06817631	0.05033592	0.062260747	0.13931702	0.6419985	0.037911467
</S>	0.0019305021	0.03181362	0.14327748	0.10936002	0.061700262	0.65191805
