 	non	ti	dimentichiamo	mai	</S>
a8	0.000204768238194	0.001509363799	0.923167185	0.0372063935	0.03791235005
a31	0.000217855852731	0.0175378626663	0.913739905	0.0306843594667	0.0378200754167
a20	8.57193698713e-05	0.0225360486888	0.949459588333	0.0116008682222	0.0163178085389
a31	2.90489542514e-05	0.13984446903	0.839282109444	0.00919627284073	0.0116481098463
a13	1.01524912895e-05	0.178300479227	0.702852383148	0.0966667009469	0.0221703069488
a31	3.38578880517e-06	0.0594399852353	0.694086347716	0.223258216982	0.0232121007829
a13	1.12898956073e-06	0.019818051269	0.499164005905	0.470850428994	0.010166403061
a1	3.76336896503e-07	0.00660611600369	0.380355105302	0.606612952998	0.00642544285367
a31	1.25450283048e-07	0.0022021463273	0.512366501767	0.482082137666	0.00334908595122
a41	4.18173989882e-08	0.000734057837972	0.435570810589	0.560904235889	0.00279086931707
a15	1.39395128886e-08	0.000244686067338	0.283091900196	0.71171135863	0.00495204927236
a13	4.64677950528e-09	8.15620769839e-05	0.181342476065	0.800015219543	0.0185607127575
a31	1.54906360124e-09	2.71873614394e-05	0.169747688022	0.767771706514	0.0624533742525
a11	5.16391371144e-10	9.06245481504e-06	0.163788652341	0.750258368838	0.0859439047508
a31	1.72166332745e-10	3.02081897495e-06	0.0928137537803	0.665369136279	0.24181409825
a46	5.73911690283e-11	1.00694094894e-06	0.0726051912601	0.59533233876	0.33206147275
a31	1.913284363e-11	3.35648276775e-07	0.03764913242	0.51572966292	0.446620877583
a46	6.37962990033e-12	1.1188345684e-07	0.0221946244733	0.432313390973	0.545491872528
a31	2.12843058087e-12	3.72951204884e-08	0.0118214993911	0.373982543658	0.614195944176
</S>	1.06432440928e-12	1.86475806438e-08	0.00783193904555	0.219734541829	0.772433552088
