 	se	nella	nella	pasta	voleva	sale	l	avevo	messo	</S>
a31	7.3170099e-06	7.18924695e-05	0.00136792069	0.01144229055	0.465966215	0.141778164	0.2429267202	0.0114097128	0.086634745	0.0383949065
a39	4.68449804157e-06	2.61689811393e-05	0.000477977625	0.00535419721667	0.236977478333	0.344680904667	0.3084094634	0.0126844938667	0.064926529	0.0264580691667
a31	2.35334848876e-06	1.10060562524e-05	0.000169827506667	0.00298322517556	0.125277785778	0.381049568222	0.412727064467	0.0109872335556	0.0482159623333	0.0185759792222
a14	1.58378220992e-06	7.16098121747e-06	0.000122866952222	0.00136491969519	0.0473340662593	0.213726219407	0.641048804822	0.0233084375185	0.0568927687778	0.0161931879074
a41	5.41703911807e-07	4.87799680582e-06	0.000229083324074	0.00162602496506	0.0273535837531	0.113312684802	0.641818084941	0.0536950481728	0.128049762259	0.0339103239691
a33	2.02830093102e-07	3.79519343527e-06	0.000211698999358	0.00138654536169	0.017605226651	0.0517878383007	0.391918246314	0.0684168397243	0.377420074086	0.0912495259897
a20	8.60074538007e-08	2.19104629176e-06	8.34173071193e-05	0.00059768193723	0.0110653999503	0.0222925186336	0.195517036771	0.0514051589081	0.553901894695	0.165134611997
a31	5.30714497002e-08	8.01439857725e-06	8.19266217064e-05	0.000391088545743	0.0226336036501	0.0132499374779	0.127306091924	0.0285050283027	0.639260781565	0.168563493999
a10	4.31947060667e-08	1.01572929124e-05	0.000102439210569	0.000885709771914	0.14375011555	0.0612102062593	0.114791266975	0.0133673643009	0.566057773855	0.0998249446663
a31	2.08907248556e-08	7.45825402413e-06	0.000316191643523	0.00191257272397	0.30559520185	0.0769864660864	0.104614340425	0.00695961953363	0.439925214618	0.0636829198888
a46	1.38016583852e-08	6.79470214138e-06	0.000504699297841	0.00484682554132	0.47067207395	0.0363992900288	0.0473600542417	0.00293782894454	0.387329978206	0.0499424389629
a31	9.07975706173e-09	3.41570008046e-06	0.00042270302928	0.00568735484711	0.52480492465	0.0220991666863	0.0267078596339	0.00140638321151	0.336184289402	0.082683880321
a39	6.03261290058e-09	1.92227018682e-06	0.000273004751093	0.0032072093157	0.448936398217	0.0228496599054	0.0205215227646	0.00060437356717	0.378881113134	0.124724778774
a28	2.18661313386e-09	7.4356804184e-07	0.000112533929131	0.00158492158923	0.293424097072	0.0265019069685	0.0238673115882	0.000413062709057	0.396731354378	0.257364071591
a21	7.3232237792e-10	2.4986593854e-07	3.81467337023e-05	0.000537510130277	0.103493540524	0.0130510368228	0.0155763867961	0.000320837246352	0.370537991459	0.496444297197
a24	2.44257734052e-10	8.33284596168e-08	1.27484967807e-05	0.000179567080852	0.0349112697927	0.0049575023056	0.00731512732537	0.000187521281784	0.259243242153	0.693192919066
