 	non	ha	che	li	aspettiamo	</S>
a46	0.00189035676473	0.00016116574929	0.0035866397946	0.22485231274	0.742380205	0.027129323
a31	0.00189166648674	0.00016118825301	0.0203161485982	0.50146353758	0.449268253333	0.02689918561
a15	0.000631871687363	5.37800339913e-05	0.0247353563661	0.50592194586	0.444848359444	0.02380868748
a31	0.000210647974632	1.79470023894e-05	0.0130928517887	0.510920485287	0.453101579815	0.02265652725
a28	7.02342995718e-05	6.0226672708e-06	0.0079947856319	0.452525940996	0.531650639938	0.00775238407333
a20	2.34117171536e-05	2.04216610127e-06	0.00268315475113	0.153112180915	0.840660396646	0.00351876992444
a11	7.80396800789e-06	6.86380373913e-07	0.000897253745922	0.0512833069733	0.944170682215	0.00364024530815
a31	2.60132346608e-06	2.28803545058e-07	0.000299101587767	0.0170969418528	0.979651827405	0.00294933720605
a11	8.67107891236e-07	7.6268164973e-08	9.97020149693e-05	0.0056993109643	0.992437109135	0.00176297070535
a31	2.89036029761e-07	2.54227763298e-08	3.32343626479e-05	0.00189980968711	0.995577536378	0.00248913123512
a46	9.63453437512e-08	8.47426572823e-09	1.10783366647e-05	0.000633276922063	0.994526265459	0.00482929554504
a31	3.21151150035e-08	2.82475652702e-09	3.69295111969e-06	0.00021109633376	0.95249534182	0.0472898351817
a11	1.07050393276e-08	9.41585935128e-10	1.23100821896e-06	7.03661046636e-05	0.903510597273	0.0964178200606
a31	3.56834744914e-09	3.1386225145e-10	4.10353921719e-07	2.34558846849e-05	0.721976189091	0.27799999502
a11	1.18945048235e-09	1.04621035927e-10	1.36795269253e-07	7.81897151152e-06	0.549697336364	0.450294745007
a46	3.96486135511e-10	3.48891147471e-11	4.57072303717e-08	2.61306888981e-06	0.475112205455	0.524885148336
</S>	1.98245080105e-10	1.7467525556e-11	2.30061000458e-08	1.3162653074e-06	0.399760842728	0.600237824168
