 	questa	canzone	venne	scritta	quattro	anni	fa	</S>
a31	0.00353162217565	2.514673465e-05	1.3348034e-05	0.0852785581	0.0006952983465	0.769313675	0.053438733	0.0877036675
a21	0.0035311727644	2.35011919867e-05	6.71963003333e-06	0.0302335536	0.0007074551495	0.874877691667	0.0303896687	0.0602303175
a37	0.00117715999212	7.8879302369e-06	3.31302307778e-06	0.0119382864667	0.0002548443305	0.911786397222	0.0121188364	0.0627133591667
a31	0.000420962302172	0.00381240084255	3.42646733926e-05	0.0236305719222	9.68304515e-05	0.787820432407	0.0373223046	0.146862296389
a17	0.000168900512623	0.00509739806818	4.46698321975e-05	0.0294468109741	6.71348285e-05	0.728541777469	0.0474548795333	0.189178435463
a20	5.63045081354e-05	0.00171610271555	1.54247042548e-05	0.0139845019247	5.18381595e-05	0.826754969156	0.0192970605111	0.138123788488
a41	1.87682017168e-05	0.00057217522556	5.14972908622e-06	0.0126543812416	2.19403981933e-05	0.774686366385	0.00841734477037	0.203623892829
a31	6.25606921436e-06	0.000190811101114	1.72067753136e-06	0.0652088264139	7.3485752393e-06	0.639173788795	0.00470852942346	0.290702740943
a46	2.08536181568e-06	6.37130539513e-05	5.7841235982e-07	0.160610042138	2.4871568213e-06	0.587694276265	0.00483599170782	0.246790813648
a31	6.95124399279e-07	2.12655796581e-05	1.93761503911e-07	0.147049334046	8.65767911233e-07	0.442776252088	0.00508188890261	0.405069491216
a13	2.31708975355e-07	7.08943375123e-06	6.46553474683e-08	0.155225571349	2.89534006311e-07	0.378757397363	0.00341224990087	0.462597123739
a41	7.72376886245e-08	2.36384500444e-06	2.16537603694e-08	0.176500643783	9.80362968703e-08	0.358676255788	0.00568152356696	0.459139047913
a31	2.57464679476e-08	7.88227722125e-07	7.27883783917e-09	0.0878148406277	3.35810414411e-08	0.171827149929	0.00640043198899	0.733956749304
a33	8.58270168463e-09	2.6341471522e-07	2.65280437576e-09	0.0608312729092	2.03168366314e-08	0.11998004131	0.0131528281297	0.806035549768
a31	2.86144672052e-09	8.84770785873e-08	1.11083233705e-09	0.0518380074697	1.58929759995e-08	0.100778902437	0.0153195104432	0.832063449923
a28	9.54232503914e-10	2.95512219431e-08	3.71577552183e-10	0.0240797803232	5.5007778355e-09	0.0797492161457	0.0068912647144	0.889279696641
a20	3.19104350138e-10	9.9487910177e-09	1.25649613828e-10	0.0143530403077	2.2288111585e-09	0.0917891853819	0.00434829107147	0.889509445547
a8	1.07003823053e-10	3.35714727637e-09	4.55951108093e-11	0.0078135736359	1.02234639617e-09	0.0804349964606	0.00446113202382	0.907290248516
a31	3.56944922147e-11	1.12010438376e-09	1.84609429698e-11	0.00548498111197	4.3677556639e-10	0.0611028818202	0.00434581077461	0.929066302839
a39	1.25015041952e-11	4.06035361087e-10	6.64684437993e-12	0.00255777412732	2.47701589797e-10	0.0366497752734	0.00249989902487	0.95829256428
a41	4.7749854434e-12	1.68049448519e-10	2.53246363664e-12	0.00107885995911	1.81608731266e-10	0.0305233400911	0.00150397720829	0.966893818093
a13	1.72288734613e-12	6.1959974663e-11	1.06123693621e-12	0.000462993761703	1.02402751755e-10	0.0220683253637	0.000835254712763	0.976633439364
a31	6.9934699781e-13	2.6482129282e-11	4.35390412737e-13	0.000184309905901	6.77261969183e-11	0.0125832333212	0.000468087614254	0.986764416455
a35	2.88022565037e-13	9.952727355e-12	6.36213500912e-13	0.0009939078053	7.28366986394e-11	0.0302235893071	0.00116381583808	0.967618695485
a31	1.52007832512e-13	4.46558871833e-12	7.64655666971e-13	0.00141622536843	7.64619725465e-11	0.0387034434357	0.00157863567936	0.958301698495
a21	9.08284585004e-13	3.25215269728e-11	5.19020555657e-13	0.000824088079477	2.43341207182e-10	0.0318533394786	0.00140306349312	0.965919532832
a31	1.1590552832e-12	4.18484535376e-11	3.51537545219e-13	0.000501354859826	2.95459945327e-10	0.0266815047595	0.00119381770437	0.971623357611
a10	4.384965626e-13	1.81267423925e-11	1.8792042174e-13	0.000255860693275	1.96237738042e-10	0.0135346971865	0.00126741620812	0.98494206587
</S>	2.968186513e-13	1.53150961963e-11	1.4215323087e-13	0.000194055341638	2.43842609021e-10	0.0121025415932	0.00180814360406	0.985895282935
