 	da	da	un	famoso	poeta	</S>
a31	0.000459754781985	0.002722862282	0.1082729881	0.46339012	0.4209670965	0.0041871767
a37	0.000459779180168	0.002736900394	0.1100645917	0.73283017	0.150946479267	0.00296205376667
a31	0.000418549526229	0.003981627098	0.1050038129	0.79213349	0.093347921189	0.00511451315556
a28	0.00040501558691	0.0043842590085	0.103193526633	0.74210637	0.14383768573	0.00607306721852
a31	0.000136391225703	0.00148436993867	0.0387097456777	0.542827256667	0.41188406191	0.00495817897284
a20	4.6771232101e-05	0.000516638516223	0.0151114333592	0.501335018889	0.478984857303	0.00400533992428
a13	1.5794429068e-05	0.000175544718741	0.00542332589973	0.701590592963	0.291060602434	0.00173417483143
a39	5.26983694807e-06	5.87004740943e-05	0.00184735971691	0.599761664321	0.396187947478	0.00213904243381
a31	1.75667998386e-06	1.95759416604e-05	0.00062342406525	0.455643508107	0.534388499159	0.0093232101446
a35	5.85561179142e-07	6.52540506522e-06	0.000208069827443	0.375898082702	0.601805416386	0.0220813220482
a31	1.95187798341e-07	2.17520859553e-06	6.953940545e-05	0.312523240901	0.576730598795	0.110674242016
a17	6.50628095876e-08	7.2508943275e-07	2.32160312923e-05	0.2903245603	0.532977636265	0.176673760672
a31	2.16878312896e-08	2.4171817807e-07	7.77647008043e-06	0.2208140201	0.503896762088	0.275281163557
</S>	1.08439888727e-08	1.20864053899e-07	3.89835013472e-06	0.17293787005	0.437106441044	0.389951661779
