 	il	morto	si	piange	</S>
a20	2.1335104715e-05	8.1869714e-07	0.5062265065	0.4887153773	0.00503600133
a31	6.24649492383e-05	1.30661028e-06	0.8159329355	0.182074481967	0.00192883905667
a18	6.19682369491e-05	1.06459559667e-06	0.833897145167	0.164533741989	0.00150612007889
a15	2.06601947912e-05	4.03165865323e-07	0.743864081722	0.254656613996	0.00145828655963
a31	6.8867561267e-06	1.37951221308e-07	0.764755827241	0.234510194665	0.00072698713021
a15	2.29559132071e-06	4.8910348636e-08	0.554605349247	0.445045598222	0.000346726513737
a31	7.65197350378e-07	2.58439396453e-08	0.209109933249	0.790476316074	0.000412972211246
a29	2.55066008671e-07	1.75962117318e-08	0.091416047923	0.908087988691	0.000495701550415
a31	8.50220122623e-08	7.02659889393e-09	0.030763119681	0.96844219623	0.000794610783472
a0	2.83406793719e-08	3.42166363464e-09	0.010514494158	0.988437018743	0.00104847966116
a31	9.44689559212e-09	1.24584370488e-09	0.003528941942	0.993628859581	0.00284219885372
a13	3.14896978768e-09	5.15362818293e-10	0.001194440555	0.994639953194	0.00416563761791
a18	1.04966503016e-09	1.77476936664e-10	0.000401736320133	0.993546737731	0.00605158820597
a41	3.498942509e-10	6.0136467928e-11	0.000134309904513	0.990285432577	0.00958026656866
a31	1.16633072428e-10	2.01732158793e-11	4.48786692427e-05	0.938736610859	0.0612185100229
a18	3.88788512025e-11	6.80163559643e-12	1.50409715346e-05	0.91811390362	0.0818711226743
a31	1.29606959371e-11	2.29616854814e-12	5.0371091462e-06	0.877993021207	0.122001970225
a46	4.3209863136e-12	7.88776552713e-13	1.69988693307e-06	0.847711260402	0.152287035408
a31	1.44135548987e-12	2.76358673571e-13	5.86346498357e-07	0.817421200134	0.182578203803
a0	4.81611946923e-13	1.02192248524e-13	2.14263006786e-07	0.815402280045	0.184597487934
a31	1.62861378041e-13	4.3329934508e-14	9.21417589287e-08	0.786278243348	0.213721655978
</S>	8.40518326705e-14	3.0025601754e-14	7.07200844644e-08	0.689164846674	0.310835057989
