 	avete	fatto	già	le	verdure	</S>
a6	0.0011718495775	1.22091774e-07	0.002599785915	0.1816907	0.4488724	0.36566515
a46	0.00117325141697	5.58958362567e-08	0.00104593729733	0.194570796667	0.341182913333	0.462027056667
a21	0.000392505840672	1.89236395959e-08	0.000356726327443	0.110916185556	0.195079429778	0.693255168889
a20	0.000130837157846	6.31141851884e-09	0.000119853727581	0.0430171461853	0.0932600742593	0.863472122963
a24	4.36123863564e-05	2.10396625535e-09	4.0400363217e-05	0.0299715597284	0.0683408287531	0.901603624321
a31	1.45374621284e-05	7.01584260103e-10	1.46582050957e-05	0.0277542749095	0.0742571399177	0.89795939144
a14	4.84582071884e-06	2.34578238521e-10	5.86035413523e-06	0.0566974999698	0.117657358639	0.825634417147
a41	1.61527357324e-06	7.99375130737e-11	2.04384558508e-06	0.0659937078233	0.134013371546	0.799989242382
a37	5.38424526953e-07	5.21488405579e-11	7.2365493936e-07	0.0376520271078	0.175536502515	0.786810187461
a31	1.79474847239e-07	4.81904358526e-11	2.55413359987e-07	0.0244692035559	0.182580207505	0.792950152487
a6	5.98250207097e-08	2.77896716175e-11	9.00453508623e-08	0.0088710823053	0.140751332502	0.850377427496
a46	1.99417483536e-08	1.48862725392e-11	3.17982858541e-08	0.00337870034977	0.116211296834	0.880409929165
a31	6.64725911136e-09	5.3963582964e-12	1.0827846518e-08	0.00115289448592	0.0529348194447	0.945912253055
a17	2.21587144349e-09	2.46168228213e-12	3.756644696e-09	0.00040525459764	0.0341589316482	0.965435767685
a20	7.388789949e-10	1.97628309404e-12	1.32459686867e-09	0.000149101963747	0.0305515638827	0.969299282562
a31	2.46434016616e-10	1.23299268701e-12	4.5391061909e-10	5.0624760879e-05	0.0170498690776	0.982899454187
a17	8.21654262747e-11	4.68500878003e-13	1.5718323523e-10	1.78312729563e-05	0.00806607914253	0.991916048062
a20	2.74140182329e-11	2.23694814334e-13	5.85504514767e-11	6.9744382321e-06	0.00532756408084	0.994665429354
a31	9.14336740967e-12	9.2111710778e-14	2.09217034922e-11	2.48743739737e-06	0.00244744673695	0.997550056451
a20	3.04959684759e-12	5.04846092593e-14	1.32008310974e-11	1.71207090579e-06	0.00130685808898	0.998691455484
a17	1.0192193674e-12	5.24782277531e-14	2.56604023658e-11	2.61206533526e-06	0.00103400646299	0.998963375161
a31	3.420589734e-13	3.68790307844e-14	2.40777782486e-11	2.11043861509e-06	0.000637239017663	0.99936064172
a23	1.16109377933e-13	4.05818264615e-14	9.1590754762e-12	7.73008482697e-07	0.000384487235888	0.999614743907
a31	4.0257390511e-14	4.13278830872e-14	4.1136527754e-12	2.77120835232e-07	0.000244581708629	0.999755127969
a8	1.48507446703e-14	4.74486172957e-14	2.23884517513e-12	1.17325631744e-07	0.000203781022876	0.999796109323
a31	6.38126252343e-15	4.94332144319e-14	1.61019318821e-12	6.28833482147e-08	0.000181831945625	0.999818119774
a28	5.37512357448e-15	1.00975017348e-12	2.12641526259e-11	2.95897756704e-06	0.000806146629875	0.999190889925
a21	9.84867832483e-15	2.42752735783e-12	4.80088128753e-11	7.90391052235e-06	0.00169513270996	0.998296963308
a31	1.15279397749e-14	1.90922849461e-12	3.62026389458e-11	6.61490159402e-06	0.00126950549465	0.998723907769
</S>	9.99102288745e-15	9.57128610305e-13	1.81040334539e-11	3.30778842686e-06	0.000649503134325	0.999347233884
