 	avete	cucinato	le	verdure	</S>
a29	0.0565388602918	0.0046712679325	0.03657317547	0.58616945	0.316047291
a38	0.0587160187639	0.00481949042083	0.20788688349	0.348941993333	0.379635613667
a31	0.0291378282546	0.00190525385028	0.43614405783	0.258178957778	0.274633877889
a11	0.0171199954195	0.000782452433227	0.34513556461	0.160939289259	0.47602268263
a37	0.00572616436851	0.000261358650906	0.119635650327	0.0833386304197	0.79103819421
a11	0.00190875630251	8.71442714542e-05	0.0399681579357	0.0391338908066	0.918902051403
a31	0.000636255340934	2.90683653809e-05	0.0133700927452	0.122843656936	0.863120937134
a20	0.000212088075436	9.70903816217e-06	0.00450072282987	0.148883403312	0.846394112378
a31	7.06973685447e-05	3.23728703211e-06	0.00150047478988	0.0518457173707	0.946579904126
a39	2.35658608114e-05	1.07923775292e-06	0.00050023445321	0.0186653439802	0.980809788042
a13	7.85537590694e-06	3.59873421143e-07	0.000166789587251	0.00654950811007	0.993275496014
a18	2.61848160594e-06	1.19983358894e-07	5.5610714718e-05	0.00227503335002	0.997666625338
a39	8.72832892284e-07	4.00021430958e-08	1.8543715476e-05	0.000810080195673	0.999170471779
a31	2.90947584551e-07	1.33376687101e-08	6.18510045617e-06	0.000306346739558	0.999687173926
a46	9.69841772652e-08	4.4518128387e-09	2.06709121822e-06	0.000153954931853	0.999843867975
</S>	4.84942950853e-08	2.23328443785e-09	1.03913874761e-06	0.000118734920926	0.999880148987
