 	siete	cucinato	</S>
a20	0.0188492028948	0.42311607	0.55803474
a31	0.0190236120416	0.410362766667	0.57061362
a18	0.00666849852387	0.158892188222	0.834439293333
a21	0.00351207477462	0.0713000964073	0.925187831111
a37	0.00954345709154	0.0733790264691	0.917077523704
a21	0.0110692065972	0.201131322156	0.787799474568
a31	0.00434268081263	0.398885554052	0.596771778189
a18	0.00144903379272	0.621319834684	0.37723115273
a31	0.000483237857644	0.636573184895	0.36294359091
</S>	0.000241619106513	0.520865627447	0.478892745455
