 	li	vestono	i	genitori	</S>
a31	0.0013946688512	0.01055572705	0.451015585	0.49052146	0.0465125225
a46	0.00139406708997	0.00458883881667	0.556386885	0.304199666667	0.133430510833
a18	0.000464817093783	0.00196964337889	0.446203328333	0.163386965556	0.387975246944
a35	0.000154996563258	0.000793466976297	0.258355599444	0.116511275185	0.624184668981
a15	5.16948594996e-05	0.000361455289099	0.145921802148	0.102649530062	0.751015522994
a39	1.72316839153e-05	0.000121420661487	0.0560103365827	0.0834122516873	0.860438784331
a31	5.74389885189e-06	4.15236547163e-05	0.0256772617276	0.347515557229	0.626759931444
a11	1.91463882691e-06	1.49118031371e-05	0.0177652415759	0.618814805743	0.363403127148
a20	6.38215476532e-07	4.99548648537e-06	0.0088035509753	0.532300321914	0.458890485716
a31	2.12739259356e-07	1.66752064068e-06	0.0031958284751	0.384370130638	0.612432181905
a39	7.09131485727e-08	5.56055613853e-07	0.00117137051837	0.337829026879	0.660998993968
a20	2.36378220461e-08	1.85521194596e-07	0.00042376444579	0.258100667626	0.741475331323
a46	7.87932032079e-09	6.18987212073e-08	0.000149398981597	0.142553807875	0.857296700441
a31	2.62644216322e-09	2.06782528601e-08	6.11452135323e-05	0.095157834625	0.904780990147
a15	8.75484726264e-10	6.90580098387e-09	2.47291873108e-05	0.0524372102083	0.947538046716
a24	2.91841690627e-10	2.31706673246e-09	8.5498639316e-06	0.0256252875361	0.974366175572
a20	9.72907859906e-11	7.84188840367e-10	2.8607003496e-06	0.00887290981203	0.991124245191
a31	3.2430693402e-11	2.61712797131e-10	9.567290837e-07	0.00329292815401	0.99670609173
a13	1.08130029867e-11	8.78344396053e-11	3.25425819833e-07	0.00168784723467	0.998311780577
a46	3.60713555306e-12	2.99821168018e-11	1.25179152444e-07	0.00162578631156	0.998374043526
a14	1.20496269471e-12	1.07353736673e-11	5.60504426813e-08	0.00136252932719	0.998637367842
a20	4.0470118457e-13	4.34463168243e-12	2.08908095604e-08	0.000577038079063	0.999422909281
a31	1.35429590688e-13	1.64182761081e-12	1.35624363201e-08	0.000613393639688	0.999386603094
</S>	6.7756982591e-14	8.88902540405e-13	1.592049766e-08	0.000885164969844	0.999114851547
