 	lo	posso	finire	di	fare	</S>
a20	6.50194825e-05	0.12307551	0.348337813	0.01714768162	0.01836858335	0.493005395
a31	6.95623331667e-05	0.375903676667	0.410822911	0.0179060119067	0.0186076917833	0.176690141867
a46	2.87216572722e-05	0.481731012222	0.271942267	0.0161986866689	0.0767454805944	0.153353827489
a31	0.000111019032974	0.372034304074	0.336981369	0.0157089430896	0.101403714531	0.17376066583
a41	0.000139549354125	0.244260972358	0.385993106333	0.0187172638965	0.0767688278437	0.274120301943
a18	4.79851057317e-05	0.086444553286	0.244676755444	0.0730824822988	0.115864807948	0.479883423981
a7	1.60838736743e-05	0.0301752376953	0.112287654815	0.227618537433	0.172491065983	0.457411441327
a41	5.36246201277e-06	0.0107342222978	0.046136874205	0.511948245811	0.176878648661	0.254296677109
a31	1.78748759811e-06	0.0035899473406	0.0168324914683	0.604945308604	0.270223789554	0.104406679036
a0	5.95829330325e-07	0.00120105469115	0.0065807154441	0.381540852868	0.525493383185	0.085183413012
a31	1.98609894937e-07	0.000400412273058	0.00219687058463	0.160708448023	0.540580694395	0.296113417671
a39	6.62033121932e-08	0.000133471965417	0.000732474588991	0.054568765841	0.481067881465	0.46349735589
a46	2.20677857592e-08	4.44915980101e-05	0.000244187573008	0.0187363259303	0.460238383822	0.520736585297
</S>	1.10338947915e-08	2.22460123019e-05	0.000122112683249	0.00968098479015	0.381278851911	0.608895792648
