 	che	non	li	aspetiamo	</S>
a20	0.00216020043015	0.0057875060125	0.0325337758	0.0275331240566	0.9319854
a8	0.0021585323999	0.0057671287255	0.0416472429333	0.0288923263522	0.92153475
a7	0.000719687369714	0.00193791894383	0.0297081013111	0.0114093947507	0.95622485
a35	0.000239901847642	0.000648732517125	0.0168269381037	0.00423176389923	0.978052613333
a46	7.99673614696e-05	0.000216265607273	0.0062299068679	0.00142267952834	0.992051151111
a31	2.66557885426e-05	7.20887574729e-05	0.00212060729563	0.00047480610055	0.99730585037
a11	8.88526327661e-06	2.40296306399e-05	0.00070870293051	0.000158338569393	0.999100083457
a31	2.96175473876e-06	8.01000922696e-06	0.000237015992703	5.2817306959e-05	0.999699227819
a0	9.87252365582e-07	2.67768603118e-06	9.34431351343e-05	1.7681014281e-05	0.999885242606
a31	3.29084735425e-07	9.00961584793e-07	7.48766073781e-05	5.99537130033e-06	0.999917927535
a30	1.09695013013e-07	3.03767849998e-07	8.43217774594e-05	2.40721713344e-06	0.999912889178
a0	3.65652291804e-08	1.05902348499e-07	6.81591041531e-05	1.50319421115e-06	0.999930243059
a31	1.21885707925e-08	3.7768640233e-08	3.7633103051e-05	1.03903565038e-06	0.999961294353
</S>	6.09432342099e-09	1.95682664665e-08	2.53230765255e-05	8.3781044519e-07	0.999973797176
