 	voi	avete	mai	mangiato	il	pasticciotto	</S>
a8	9.12443195e-08	0.266491655	0.03036935095	0.04858330265	0.09253833845	0.54867471	0.0133425145
a31	3.94991458167e-08	0.271787857	0.0332502299833	0.102825459217	0.176699682817	0.40488359	0.0105531200667
a21	1.32629152146e-08	0.184583544333	0.0255928453278	0.127550891739	0.155834316272	0.502329876667	0.0041084994889
a37	4.43458962187e-09	0.150788288111	0.0219959682759	0.0998829205797	0.073037628424	0.652470072222	0.00182511232963
a8	1.68082646529e-09	0.0641593149903	0.00982755544863	0.0755926248599	0.0905335504747	0.758961724074	0.00092523673321
a31	4.24331448843e-09	0.0216454675701	0.00351351772288	0.06194509362	0.277274173492	0.635141594691	0.000480165314403
a13	4.89924942961e-09	0.00723706424337	0.00121664553796	0.0372964122067	0.322852471164	0.63107951823	0.000317906218134
a20	1.63402563387e-09	0.00241295102496	0.000407172369127	0.0160770412356	0.172448790388	0.808348106077	0.000305955062711
a3	5.44836250026e-10	0.000804400172073	0.000135848226347	0.0065601038952	0.087552732796	0.904671662026	0.00027525700757
a31	1.85181220544e-10	0.00026859302441	4.5422429197e-05	0.00236444174173	0.0368970732653	0.959784967342	0.000639504165857
a29	6.52834274944e-11	8.99837214042e-05	1.52783590742e-05	0.00086942858591	0.0151221596884	0.983120302447	0.000782855468619
a31	2.19088117112e-11	3.01492513922e-05	5.1073820899e-06	0.000311263851637	0.00591675579613	0.992056747482	0.00168002580287
a3	7.45026444117e-12	1.02039230324e-05	1.71678465365e-06	0.000112898462546	0.00226675799871	0.995644282494	0.00196419964762
a31	2.5969945445e-12	5.15604232247e-06	5.85952773567e-07	4.30928823153e-05	0.000948519110903	0.993921360831	0.00508131559587
a24	9.79804324933e-13	3.47234771782e-06	2.09061468076e-07	1.74142908051e-05	0.000395815564968	0.99336237361	0.00622072075529
a31	6.08779615078e-13	2.64786159829e-05	1.18921564245e-07	1.15015215017e-05	0.000246064034989	0.982875344537	0.0168404568084
a39	4.84531210887e-13	3.41855491343e-05	8.8788103765e-08	7.49283558723e-06	0.000131549875996	0.977220314846	0.0226063260028
a31	1.62139118856e-13	2.31220101848e-05	5.09834502717e-08	3.91734644908e-06	5.57603846653e-05	0.942063404949	0.0578537157343
a33	5.47563652353e-14	2.16887257283e-05	1.17524966757e-07	8.17185964969e-06	5.03682632218e-05	0.843638468316	0.156281165245
a31	1.84159150551e-14	1.03225895761e-05	1.23852576252e-07	9.1378499499e-06	4.38101370739e-05	0.667534216105	0.332402355082
a23	6.2733884617e-15	4.5361470787e-06	1.42198199417e-07	3.12768123833e-05	0.000144849845025	0.592241732035	0.407577428361
</S>	3.23886880585e-15	2.71532636935e-06	2.14243549708e-07	5.67652291916e-05	0.000260102412512	0.637554516018	0.36212567918
