 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a31	0.00197441772	0.00793573055	0.0114543045	0.0274090715	0.23370508	0.41212797	0.26265455	0.0427388715
a20	0.00190285746033	0.0075081403979	0.00886410924167	0.173750048833	0.27068556	0.340996551333	0.117840913333	0.0784518058333
a31	0.00063512112301	0.00251638970253	0.00376071058889	0.256328856278	0.295294526667	0.309365428444	0.0659428444443	0.0661561062778
a29	0.00021214809444	0.00085305944951	0.00343674662963	0.369519745426	0.254515942222	0.296782726148	0.0459873581481	0.0286922687593
a31	7.17390696833e-05	0.00037974926317	0.0584251052099	0.456625185142	0.280607914074	0.160140384049	0.029183327716	0.0145665869198
a20	2.50424978944e-05	0.000225226333723	0.07701301357	0.405048055047	0.353218728025	0.136111756683	0.0215000379053	0.00685811253993
a31	8.519000532e-06	8.12857875743e-05	0.0295967162233	0.304915016682	0.436000526008	0.174167215561	0.0497097429684	0.00552096394664
a18	2.84407590887e-06	2.82863669248e-05	0.0123102808744	0.114962990561	0.523604842003	0.24622365852	0.0882196229895	0.0146474791822
a20	9.49655415904e-07	9.62803483727e-06	0.00428933663547	0.0458692849137	0.412975654001	0.285750569507	0.15767510633	0.0934294783941
a31	3.16567078535e-07	3.21202024887e-06	0.00143657622866	0.0153795999651	0.212610981334	0.217531386502	0.324803615443	0.228234322798
a28	1.05523229094e-07	1.07104281299e-06	0.000482149342153	0.0051294971762	0.092788363778	0.231714112167	0.419189135148	0.250695550933
a31	3.51750154191e-08	3.57237630157e-07	0.000163339328951	0.00171071115071	0.0482652263593	0.214508996722	0.395636681716	0.339714630311
a11	1.17255143279e-08	1.19344365906e-07	5.6458028917e-05	0.000571775205813	0.0365926645531	0.162168631574	0.387244680572	0.41336567677
a24	3.90895345389e-09	4.00091596336e-08	2.07102664999e-05	0.000191844785765	0.0313859324544	0.135900056191	0.268391828857	0.564109612257
a38	1.30300868617e-09	1.33450970968e-08	6.9343310922e-06	6.40283536157e-05	0.0139648797548	0.0802044660637	0.233322011619	0.672437690752
a31	4.3436222785e-10	4.4577048292e-09	2.34217490707e-06	2.14279273599e-05	0.00838513828493	0.0651936001879	0.29150990054	0.634887616917
a46	1.44823989383e-10	1.49799540667e-09	7.96116299023e-07	7.25834590797e-06	0.00949368246164	0.0631867865626	0.376048196847	0.551263278972
a20	4.83192762907e-11	5.11213429923e-10	2.81092677341e-07	2.53006705593e-06	0.00969008310388	0.0704114805209	0.484495698949	0.435399932991
a31	1.61166752553e-11	1.70852123248e-10	9.54508926303e-08	8.43440934412e-07	0.00336617546463	0.0396946211736	0.391160966316	0.56577734433
a46	5.42923952218e-12	7.47158789893e-11	3.96873967268e-08	3.57336877297e-07	0.00463773130154	0.0426557710579	0.445390405439	0.507315751443
a31	1.86798571639e-12	4.30858817298e-11	2.14006727423e-08	1.97099743266e-07	0.00523223148718	0.042753864186	0.472147321813	0.479866397148
a8	7.2780833113e-13	4.73105289766e-11	1.85264437474e-08	1.87419775255e-07	0.00712817988239	0.0463028172287	0.466364827271	0.480203982383
a31	3.4690505311e-13	4.84449133489e-11	1.73662818958e-08	1.82826667052e-07	0.0076413477608	0.0460169806096	0.434774325757	0.511567147461
</S>	1.74279640655e-13	2.44541102095e-11	8.8952859179e-09	9.2139326476e-08	0.0039851820804	0.0252611526048	0.296583762878	0.674169793731
