 	io	dopo	torno	vecchia	vendo	mia	casa	che	ho	Venezia	a	Venezia	e	vengo	da	vivere	qui	a	Kalimara	</S>
a8	0.17231814825	0.0106570084338	0.00029504095905	0.000162462712698	0.00048567991904	0.00213567724	0.0018122766011	0.0022658564835	0.00853048045	0.394313715	0.023595368	0.262931055	0.0276310604	0.018956399	0.0021787925935	0.036678138	0.007492274631	0.01357677035	0.008039692915	0.005944146015
a37	0.0621929565833	0.00355266175949	0.000102460378383	5.42419208512e-05	0.000163256706707	0.00084622925	0.000627552339767	0.000768304880833	0.00296675310667	0.391617938333	0.0193910766667	0.298672841667	0.0160451234	0.0704275186667	0.0007314408456	0.104799021	0.002516027449	0.00505942695	0.002840827765	0.016624395015
a31	0.0271491075278	0.0012171192155	4.02099501277e-05	1.81903154571e-05	5.6215997569e-05	0.000844057426667	0.000985882751922	0.00100380789094	0.00173682325889	0.338641846111	0.0401051092222	0.278289527222	0.0294103128	0.0936295008889	0.000781294033967	0.139058050333	0.002577158301	0.0221661155833	0.001598166605	0.020691559105
a29	0.0171886371759	0.000442073521833	8.18196680426e-05	7.55249217237e-06	3.51992918563e-05	0.00951642587556	0.00123081932397	0.00117154816365	0.0015785822863	0.41402357537	0.0383860440074	0.287155215741	0.0282239453667	0.0550337052963	0.000796047609822	0.106113334778	0.0025884666149	0.0274354172611	0.00109775167567	0.007893884335
a1	0.0126198082586	0.000154237197278	0.000103691278681	4.83270459079e-06	3.77587896188e-05	0.0166804242919	0.000639175374657	0.000526269753217	0.00103181559543	0.44736844179	0.0168081122691	0.34507038858	0.0111062205556	0.0424680974321	0.000280512710441	0.086403952926	0.000909536629533	0.0095375317537	0.00089435536589	0.007354838645
a39	0.00712470251953	6.01489080927e-05	5.1808805227e-05	6.9330610636e-06	3.37560478729e-05	0.0118176762973	0.000455872218219	0.000309931183072	0.00064822637181	0.48846410393	0.0151217150897	0.336116836193	0.0080337131852	0.0402926518107	0.000157168128814	0.0766801023087	0.000529364953178	0.0039241057179	0.00110241133196	0.00906875434833
a3	0.00937056740651	7.68900450309e-05	5.48088597423e-05	3.02255060212e-05	5.52246566243e-05	0.00805339506577	0.00134556583941	0.000536914694357	0.00105046059727	0.468173517977	0.0293229626966	0.306566305398	0.0131173550617	0.0457793946036	0.000259119379605	0.0979265221029	0.000817803284393	0.00265455437263	0.00211048835399	0.0126979019161
a20	0.0115816114688	0.00015808532501	6.26885759141e-05	4.80659986737e-05	6.15694188748e-05	0.00795412212192	0.0035300286798	0.00206663753145	0.00170879639909	0.412949099326	0.0407830508989	0.265528465133	0.0213793660206	0.0582462548679	0.000724282013202	0.144818634034	0.0026116466948	0.00500741572421	0.00434517365133	0.0164349643054
a8	0.00890251465627	0.00015698378967	5.31608269714e-05	4.15098638912e-05	3.52461089583e-05	0.00588640337397	0.0039313820266	0.00288409221048	0.0019429484997	0.342248613109	0.0353483452996	0.304984518378	0.0203883850069	0.0591676142893	0.00109864363773	0.156158478011	0.00513518869827	0.0141265182414	0.0121317022171	0.0253777117685
a17	0.0142558707188	0.000838781411223	7.51188513238e-05	8.50826822971e-05	4.70481589861e-05	0.00943712345799	0.0105089780755	0.00469195843683	0.00347134116657	0.22270994437	0.0265142727665	0.319409842793	0.0159007490023	0.0608707957631	0.00116395201258	0.13303918267	0.00650965956609	0.0623028270805	0.0460627394057	0.0621047205895
a31	0.0201848559063	0.00104794587741	7.01137501079e-05	8.9392737299e-05	5.01748833287e-05	0.010227366086	0.0121303141352	0.00475932862894	0.00353877155552	0.15011616479	0.0243898635888	0.310499344264	0.0274216910008	0.118634366921	0.000920037654193	0.12022990089	0.00479080390536	0.0717650630268	0.0562906511352	0.0628438708632
a10	0.0229134296354	0.00111978749947	0.000102090854703	0.0001534948923	0.000143071144776	0.009893613962	0.0109128708217	0.00300054835965	0.00321604581851	0.102925493597	0.0261109345296	0.358654421421	0.0323312463336	0.146426792307	0.00137957906806	0.100572244963	0.00358173568512	0.0636194236756	0.0597642283784	0.0531789676211
a31	0.0265312968785	0.00114851167882	0.000122167326568	0.000178109180433	0.000182830987259	0.0100334799207	0.0107486619406	0.00263438121988	0.00340185030617	0.0798944678657	0.0300250881765	0.35563710714	0.0409166947779	0.161077560769	0.00182069118935	0.094497376321	0.00349533552837	0.0606158030252	0.0642859651261	0.0527526295404
a39	0.0216114926262	0.00113018173861	0.000185854187189	0.000262689293144	0.000362008334753	0.00910025424023	0.0102596343135	0.00279670550663	0.00405004500206	0.0759665852886	0.0352615827255	0.35681978238	0.0467750475926	0.17360411359	0.00337361849645	0.0963013087737	0.00423246327612	0.0487627758084	0.0632359787087	0.0459078635135
a31	0.0221295492087	0.00113055992287	0.000217874502396	0.000295870140381	0.000434727791584	0.00905492408008	0.0103128205378	0.00283481846888	0.00447549776735	0.0620830664295	0.0346562709085	0.378235200793	0.0452644101975	0.179899141197	0.00391030719882	0.0870126015912	0.00439654735871	0.0454252572695	0.0637181795696	0.0445123501712
a24	0.0230149697362	0.00149894618429	0.000325538407465	0.000477296256127	0.000728658777195	0.00804093469336	0.00832790627927	0.00305467232296	0.00420304768912	0.0566923668098	0.0316726816362	0.394742856931	0.0442753037325	0.176925060399	0.00598863909961	0.0979671625304	0.0055138122529	0.0421953194232	0.0564402585232	0.0379145557237
a37	0.0311552439121	0.00514355939476	0.000493193905822	0.000787155372042	0.000944184065732	0.0117214067311	0.0102208307598	0.00372749597432	0.00391219726304	0.0478948489366	0.0227766828787	0.320069078977	0.0252148605775	0.102792771466	0.0069386911332	0.112361464177	0.00666797461763	0.118331049808	0.0941665028411	0.0746808085746
a31	0.029964256304	0.00539375590492	0.000514836841941	0.000630695757347	0.000622970461911	0.0103098173104	0.00856627841993	0.00300674032477	0.00391296732101	0.0367538696455	0.0197034352929	0.321849229659	0.0281504588592	0.104577015155	0.0047498496444	0.100188609392	0.00442723290588	0.131497936603	0.10239589328	0.0827841571915
a11	0.0182074391013	0.00394876640831	0.000884469000647	0.00108929293245	0.00117465905397	0.0082903483368	0.00757774930664	0.00360778794159	0.004773500307	0.0370092155485	0.0222401087643	0.328983849886	0.0344285949531	0.113684737385	0.0086678547148	0.150632551131	0.00890117446863	0.104864402201	0.0836333300933	0.0574001683972
a16	0.0269346520338	0.0135324358028	0.00133481236688	0.00189569751082	0.00168336505132	0.0138161974456	0.00991555743555	0.00485218348053	0.00417618503567	0.0355503761828	0.0157665710881	0.210998623295	0.0216698653177	0.0698327101283	0.0104197247716	0.197303827044	0.0123802918229	0.158050720734	0.117685023364	0.0722011977991
a31	0.0267436313446	0.0152655191676	0.00156518282229	0.00190721163694	0.00170808581711	0.0143274280819	0.0102892641452	0.00592871696018	0.00557546694522	0.0422661120609	0.013626337196	0.189402341098	0.0220175667726	0.0743442653761	0.0114534141239	0.195421455681	0.0107395152743	0.150978363578	0.134801077788	0.0716390675997
a39	0.0172482944482	0.00713861262253	0.0022566412741	0.00281532294565	0.0032734093057	0.00992945746063	0.00890250638173	0.00723749078673	0.00747440511507	0.043117765687	0.016437164732	0.180168773699	0.0306169709242	0.0812787411254	0.023063134708	0.312103545227	0.0199610237581	0.0927162331927	0.091755202596	0.0425053191999
a37	0.0203821794827	0.00836515170751	0.00386432989137	0.00525625231522	0.0058390383019	0.0113567929869	0.0101821481272	0.00910677259558	0.00811263217169	0.0277115725623	0.015303467744	0.0989703595663	0.0290470013081	0.0602744363751	0.0354867149027	0.486085448409	0.034180833586	0.0584999480642	0.0491937378653	0.0227812077333
