 	se	vieni	alle	sette	io	sto	cucinando	</S>
a31	0.063369381	0.13302012	0.00050525605	0.00959906775	0.0226536465	0.5550408	0.14130483	0.0745069325
a21	0.231154557667	0.118405157667	0.000218772636667	0.106955931583	0.0178333296667	0.3895474854	0.075469295	0.0604154745
a31	0.277201803222	0.0963302702223	0.000160160008889	0.136785144694	0.0095931883889	0.397271180533	0.0408291953333	0.0418290268333
a21	0.130334351741	0.0766626922074	0.00013166084163	0.342134922398	0.0061481601963	0.398853017644	0.0233604351778	0.0223747297111
a31	0.094490398247	0.310555256202	6.57215015433e-05	0.412046202466	0.00735394579877	0.148630243348	0.0120989344593	0.0147592996704
a13	0.121511163749	0.393425278067	7.30311961811e-05	0.168467632489	0.0107469499329	0.120258757783	0.0964085161531	0.0891086722235
a35	0.348268804583	0.140965815522	9.62584253937e-05	0.0956216734963	0.00937618197763	0.111200205928	0.152901105384	0.141569937408
a37	0.366910473861	0.125568425341	0.00286187636513	0.0470141568321	0.0583090813259	0.177130338643	0.128177471795	0.0940281514693
a31	0.36382871362	0.12875404178	0.00401477583504	0.0272523426107	0.0743302195753	0.199823219548	0.148829607265	0.0531670741564
a37	0.359065316873	0.129723040593	0.0330338469917	0.0341327392036	0.149258775658	0.119357823183	0.127389721088	0.0480387873855
a31	0.433899067958	0.123803065198	0.0443231727639	0.0297338920679	0.176132992886	0.0826866377277	0.0674567810293	0.0419644561285
a24	0.466429650319	0.100748346733	0.0906665430213	0.0267320820226	0.148551925295	0.0662620225759	0.0511705406764	0.0494389557095
a31	0.43307664444	0.101825982244	0.120550921007	0.0292710800075	0.149956899432	0.0635268465253	0.0445203562255	0.0572713025698
a13	0.425366024813	0.0917263274147	0.163027200336	0.0354445326692	0.117212494144	0.0604104878418	0.0450476547418	0.0617652601899
a31	0.303299231604	0.101095339138	0.197916736779	0.0590636728897	0.120664464715	0.0758760126139	0.0638854032473	0.07819913673
a27	0.272525387201	0.0973746597127	0.187718438926	0.0786507229632	0.110668968238	0.086158167538	0.0807872757491	0.08611639891
a31	0.220712825734	0.102511106571	0.182573462975	0.0957395593211	0.112407839413	0.096484165846	0.0936051999164	0.0959658763033
a35	0.210246535245	0.108404665524	0.137804217658	0.108012179774	0.119485759804	0.106260618615	0.104954439972	0.104831606768
</S>	0.165863857622	0.116113757762	0.131371278829	0.113069427387	0.131344189902	0.115007264307	0.113881544986	0.113348670384
