 	essendosi	vestito	</S>
a46	0.80451258	0.1760451415	0.0194422151
a31	0.614007503333	0.357100773833	0.0288916917
a18	0.635887177778	0.340191207944	0.0239216082333
a31	0.841677805926	0.146379595981	0.0119425985611
a20	0.781808881975	0.119210881994	0.0989802410037
a46	0.746456477325	0.116250113998	0.137293388001
a20	0.837645522442	0.0823742059993	0.0799802470003
a31	0.620552020814	0.210393873333	0.169054102333
a0	0.548559840271	0.249296193111	0.202143982778
a46	0.715333546757	0.148780019704	0.135886439593
a35	0.660616615586	0.144904146568	0.194479259864
a46	0.510026848529	0.180564898856	0.309408276621
a24	0.41902879951	0.216154959619	0.364816248874
a46	0.38012718317	0.252470739873	0.367402089625
a24	0.361967871057	0.276012869958	0.362019279875
a31	0.352863297019	0.295962423319	0.351174309958
</S>	0.347164308509	0.311126186659	0.341709529979
