 	la	donna	vuole	pulire	la	casa	ogni	giorno	per	stare	pulita	</S>
a31	0.40067430015	0.063270584	0.155546435	0.0129705305	0.000460594957	0.023983404	0.0619094156	0.017487742325	0.00711030823	0.185694699	0.0072369365	0.0636550945
a18	0.135499835817	0.0225311141468	0.298485451667	0.0917261248333	0.000188158692667	0.0226749983467	0.0826658202	0.0383058621083	0.00785765024333	0.202173123	0.00601359916667	0.0918783115
a31	0.0453971514423	0.0078268454291	0.273832329222	0.116732080611	9.89444752223e-05	0.0281423851289	0.0789730754	0.0606009520361	0.0208335519144	0.281149987667	0.00435996125556	0.0820527951667
a24	0.0151912952708	0.0029245346396	0.358118785074	0.108731032537	0.000138999913741	0.0299206927163	0.0624973284667	0.0537447523454	0.0251385898381	0.291270215556	0.00290035328519	0.0494234460556
a31	0.00511310711027	0.0010202957331	0.472734595025	0.135695779179	0.000142088976247	0.0123746622454	0.0637516474889	0.0676429891151	0.0124952064794	0.180963551519	0.0021351882284	0.0459308670185
a17	0.00179106467676	0.0003944363677	0.302977143342	0.13532903806	0.000313677670416	0.00837444841513	0.0849556124963	0.105109423038	0.0506565071598	0.21941866384	0.0105343975428	0.0801455776728
a31	0.00069824745892	0.0001519793329	0.383222682781	0.16159745602	0.000378304003472	0.00500939583838	0.0603732818321	0.0792718310127	0.0606361168199	0.16296192328	0.0146327961809	0.0710659702243
a20	0.000400359502973	0.000179852004633	0.38053048026	0.12180655934	0.000347127991157	0.0134406209795	0.109785308277	0.121143187004	0.05342020004	0.08535976776	0.0357069403936	0.0778795677414
a7	0.000535950024324	0.000319591244878	0.139716187753	0.0507798143133	0.000404775450386	0.0180393924265	0.134780958759	0.145418752335	0.06551934568	0.136866167253	0.0731935767979	0.234425455914
a31	0.00205141407477	0.000634046341626	0.187510037584	0.0712379419711	0.000357918340129	0.0142654279088	0.0777928805863	0.084068658445	0.0561654922267	0.150860839084	0.100942182266	0.254113133305
a18	0.00289214419159	0.00133567581388	0.204198739195	0.078035991657	0.000947221960043	0.0144663289696	0.103848408529	0.151583420482	0.118131975409	0.0798823296947	0.131212784089	0.113464965768
a41	0.00257767556386	0.00222052283796	0.080553554065	0.0313956015523	0.00239402058668	0.0132200229899	0.132474576176	0.214989233494	0.188287225136	0.0535096188982	0.206755594696	0.0716223485893
a31	0.00906381675462	0.00341327037932	0.048573762355	0.0191975315174	0.00317847846223	0.0141092526633	0.0981693787253	0.152909189498	0.153690008379	0.0427637172994	0.376934891565	0.0779967361964
a46	0.0210358995849	0.0112689617931	0.0821086174517	0.0448497715058	0.0134307074207	0.0390528538878	0.0796959079084	0.0993890264993	0.10761920946	0.0433653750998	0.387497287188	0.0706864187321
a20	0.0282641338616	0.021305402931	0.0950756214839	0.0643272851686	0.0286714558069	0.0766867326293	0.0891796009695	0.0891974204998	0.0969565164867	0.0480235046999	0.309890969063	0.0524213735774
a31	0.0380868262872	0.0235480233103	0.0619869794946	0.0469413077229	0.028559511269	0.0730673212098	0.0816096403232	0.0820374601666	0.0822297621622	0.0426012282333	0.382223443021	0.0571084968591
a39	0.0517309197624	0.0339594667701	0.0748134531649	0.0529282555743	0.0342006910897	0.0659253727366	0.0719702501077	0.0748073967222	0.0732886507207	0.0464638187444	0.35901493434	0.060896783953
a31	0.0583979282541	0.04435096059	0.0856107577216	0.0619012918581	0.0430816236966	0.0668617355789	0.0771052100359	0.0840766889074	0.0805867669069	0.0556584365815	0.274411521447	0.067957066651
a24	0.0629996610847	0.05035769853	0.0962520792405	0.0684064969527	0.0478005908989	0.0639433598596	0.0796699166786	0.0885657249691	0.0842711843023	0.0623450525272	0.224038540482	0.0713496695503
