 	avete	cucinato	le	verdure	</S>
a20	0.780627965	0.106718066498	0.015338387218	0.04969106872	0.047624547541
a31	0.924199421667	0.0360415875647	0.00585241565133	0.01787780582	0.0160287986843
a37	0.929247703889	0.0132533601216	0.00764963665044	0.01727533504	0.0325739707048
a10	0.914537241296	0.00590637524053	0.0245459128835	0.0159797927267	0.0390307021683
a20	0.935337183765	0.00385375868018	0.0362147919612	0.0077794722889	0.0168148326561
a28	0.789368094588	0.0104557934934	0.0629751516537	0.0921255404296	0.045075447552
a20	0.534844981529	0.0481654684978	0.0978672805512	0.175326623477	0.143795669184
a33	0.446122647176	0.0834761078326	0.100749788517	0.184087534492	0.185563939728
a8	0.490850885725	0.0834472192775	0.089507267839	0.193249218164	0.142945416576
</S>	0.522371867863	0.0790454346387	0.0819216589195	0.191981594082	0.124679438288
