 	può	che	sono	ancora	svegli	</S>
a31	0.697552575	0.035489209	0.00451653855	0.0628346605	0.096010652	0.10359638
a7	0.760533851667	0.037086844	0.00186834077267	0.0706449215	0.0548726776667	0.0749933826667
a31	0.795683160556	0.0355848336667	0.00069489785689	0.0919248405	0.0258031215556	0.0503091585556
a7	0.560827590185	0.173828692556	0.00035180950563	0.168442036833	0.0273341938519	0.0692156911852
a31	0.296956683395	0.382638570852	0.000235921078543	0.174461235611	0.0399323406173	0.105775233728
a37	0.169169317798	0.450342603617	0.0883186924262	0.109278284204	0.0573041528724	0.125586867909
a31	0.389118212599	0.299802775872	0.120849676809	0.056894009568	0.0480600989575	0.085275182803
a39	0.514588847533	0.182389413291	0.10416560827	0.065647932356	0.0601601343192	0.0730480777677
a31	0.451718659178	0.163326137764	0.119759599423	0.0929015527853	0.0841683764397	0.0881256742559
a20	0.449400119726	0.138319779255	0.116358739808	0.106061626262	0.0948802704799	0.0949794330853
a31	0.359925626575	0.145455979752	0.132844226603	0.126776978754	0.118014443493	0.116982717695
a46	0.309630045525	0.147715123251	0.139769282201	0.138127629585	0.132516241164	0.132241685898
a8	0.284732691842	0.148779334417	0.144816174067	0.142978839862	0.139696233721	0.138996738633
a46	0.295489157281	0.143419784806	0.141111181356	0.140659263287	0.139577784574	0.139742826211
a8	0.27210620576	0.146463864935	0.145381053785	0.145265234429	0.145190338191	0.14559329207
a31	0.439619065253	0.112680874978	0.111776737928	0.11186430481	0.11183486673	0.112224119357
a20	0.480079261751	0.104480958326	0.103655532643	0.10385268827	0.103792756243	0.104138795119
</S>	0.339737025876	0.132332779163	0.131831816321	0.131901254135	0.131967293122	0.13222985756
