 	la	macchina	si	è	rotta	e	vuole	riparate	dal	meccanico	</S>
a31	0.3645113873	0.045761114	0.0128526928	0.0005076492425	0.0085326699	0.00328190695	0.00278401995	0.4036011105	0.0526498525	0.063160835	0.0423568475
a23	0.122081217033	0.0851201283333	0.0236377961333	0.0001804540705	0.00534632123333	0.00196762121667	0.00439402375	0.405496947833	0.0831396041667	0.0520079003333	0.216628049833
a31	0.0410668018843	0.152866356111	0.0316520837111	8.99919448333e-05	0.00825557874444	0.0119069483389	0.00542420491667	0.242337343611	0.176136948056	0.0593825921111	0.270881183278
a37	0.0139520289348	0.159745512037	0.050568816237	9.27528282778e-05	0.0210207085815	0.0151159437463	0.00570619363889	0.198110215537	0.206652286019	0.0655453073704	0.263490227759
a39	0.00499685679493	0.102430654679	0.070991102079	7.70982934259e-05	0.0270758145272	0.0057379787721	0.00590955667963	0.098148456179	0.142740012006	0.0663023691235	0.47559007592
a17	0.00190990020498	0.0423257712263	0.050631061693	7.2050085142e-05	0.0164758893091	0.00207990812403	0.00466833092654	0.0640546787263	0.165778134002	0.109633253041	0.542371011973
a11	0.00108753475833	0.0192578747421	0.0258395719977	0.000156573638381	0.00626313290303	0.000817252221343	0.00257774772551	0.0502511812421	0.186745931334	0.243709751014	0.463293463991
a31	0.00100532981944	0.0094764420807	0.0121557579659	0.00015554653746	0.00291382820101	0.000330518842114	0.0011281704685	0.0489682900807	0.130302177111	0.463610050338	0.329953914664
a20	0.000852772853147	0.00789519986023	0.00879123318863	0.000438691817153	0.001984562567	0.000548295312371	0.00233067543283	0.0425757550269	0.130323605704	0.583899116779	0.220360118221
a31	0.000660117131049	0.00689332595341	0.00725318372954	0.000526215814051	0.00122657125567	0.00061418284079	0.00274776653094	0.0424931686756	0.144739838568	0.61211542226	0.180730246074
a24	0.000668168243683	0.0074833043178	0.00667304957651	0.000807524713017	0.00141896468522	0.000890249350263	0.00578897633031	0.0499639962252	0.159123326189	0.625830990753	0.141351472025
a31	0.000851003581228	0.0075184110726	0.00664355639217	0.000907268721006	0.00151463751174	0.00100005946675	0.00676864774344	0.0406926947417	0.152417735396	0.606526520251	0.175159484008
a8	0.00266063336041	0.0249050979909	0.0105285633307	0.004997627557	0.00445939365391	0.00412904737225	0.0135335202145	0.0441067922472	0.210314028465	0.49503878675	0.185326544669
a31	0.0110210628868	0.0308812275303	0.0122562579436	0.00657378845233	0.0063051591513	0.00660775379075	0.0172199407382	0.0413079140824	0.259441899488	0.425541685583	0.18284333489
a24	0.0131127104289	0.0191677623768	0.0112975891479	0.00556175708411	0.00849961065043	0.00817502959692	0.0203099832461	0.0947346500275	0.212416263163	0.421754961861	0.184969678297
a6	0.0090735612763	0.0244516611256	0.019187956716	0.0109440353614	0.0249156552168	0.0226188625323	0.036432232082	0.133030490009	0.293493214388	0.298271017287	0.127581336099
a31	0.0909249260921	0.0302744040419	0.0304176889053	0.0199503404538	0.0411578117389	0.0699798648441	0.0673692993607	0.0891896666697	0.279359528129	0.174715631096	0.106660880366
a20	0.121058912697	0.0316162686806	0.0350694036351	0.0246355091513	0.0586866885796	0.105698208281	0.101028736454	0.111776522223	0.183735666043	0.128067829032	0.0986262717887
a31	0.0886999082323	0.0384099862269	0.0426715108784	0.0320115473838	0.0679530841932	0.114329456094	0.107747878818	0.121790514074	0.177780948681	0.112729496344	0.0958756772629
a23	0.0793612750774	0.0413301017423	0.0452856826261	0.0354290337946	0.0724338480644	0.126454172031	0.122638812939	0.149442741358	0.14866220956	0.096144375448	0.082817752421
a28	0.0458667153591	0.0363937309141	0.0386091692087	0.0325050592649	0.0823262280215	0.151839267344	0.156352477646	0.177853217119	0.120504609853	0.0832101034827	0.0745394174737
a31	0.060922526453	0.0447108913047	0.0476603580696	0.041092791755	0.0773037730072	0.177670382448	0.163472142549	0.12800667704	0.109856177951	0.0769306944942	0.0723735824912
a0	0.0657326778177	0.0471515387682	0.0505501093565	0.0437613392517	0.0757318560024	0.185660794149	0.166599644183	0.116569310347	0.102928813984	0.0745450364981	0.0707688974971
a28	0.0455506832726	0.0413797519227	0.0432545487855	0.0390861830839	0.0840161120008	0.194259781383	0.184554754728	0.130867006782	0.0972430796613	0.0705224288327	0.0692656758324
a35	0.0383029627575	0.0398495129742	0.0417979675952	0.037545761028	0.0980512006669	0.195674370461	0.188936134909	0.138547622261	0.0897793348871	0.0631214062776	0.0683936966108
a8	0.0337092325858	0.0390394269914	0.0426604948651	0.0360809990093	0.115917123556	0.18527126682	0.18153718497	0.147569994087	0.0871643482957	0.0587100014259	0.0723399285369
a20	0.0350060551953	0.0404488659971	0.044073228955	0.0378371493364	0.113068194519	0.195099312273	0.188944848323	0.143487764696	0.0777633414319	0.0551304124753	0.0691408635123
a31	0.0700846410651	0.0519328053324	0.0538443636517	0.0500755287788	0.0936567615063	0.192513930758	0.174626052774	0.117382421565	0.0693892624773	0.0597843148251	0.0667099201708
a37	0.0811449026884	0.0551777401108	0.0565887765506	0.0535728225929	0.0874630321688	0.188946686919	0.167987037591	0.109650720522	0.0695614874924	0.0628651949417	0.0670415957236
a31	0.0726656752295	0.0591065467036	0.0603578341835	0.0576532071976	0.0874891590563	0.18069585564	0.162424899197	0.108952201841	0.0742821311641	0.0666489319806	0.0697235542412
a37	0.0699356304098	0.0604107249012	0.0615040237278	0.0590296847325	0.0846242030188	0.177216428547	0.159544603066	0.106650708947	0.0790698377214	0.0703916169935	0.0716225120804
a19	0.0498880001366	0.0484196563004	0.0494728782426	0.0470341685775	0.0883643896729	0.205947776182	0.192496567689	0.122779282982	0.0722785679071	0.0599689219978	0.0633497846935
a35	0.0429661357122	0.0444264654335	0.0456580454142	0.0429554898592	0.0949852652243	0.216207732061	0.204851005896	0.132323867661	0.0644081203024	0.0522916503326	0.0589262255645
a20	0.0419716142374	0.0439394758112	0.0452266138047	0.0427429929531	0.0933977350748	0.224334700687	0.211310425299	0.13065011122	0.0598457084341	0.0498029014442	0.0567776925215
a31	0.0675184297458	0.0559982599371	0.0569275619349	0.054894311651	0.0867327983583	0.198063460229	0.179645471766	0.11130089574	0.0649285068114	0.0599117804814	0.0640784908405
a39	0.0756786049153	0.0596591363124	0.0605262263116	0.0586089025503	0.0846885507861	0.188044790076	0.168404550589	0.105611320247	0.0678671622705	0.0639425754938	0.0669681602802
a31	0.0718776183051	0.0626584284375	0.0635029877705	0.0616776225168	0.085359456262	0.179588790025	0.16242282353	0.104910978416	0.0714489674235	0.0670029251646	0.0695493800934
a28	0.0698489587684	0.0628494581458	0.0636404992568	0.0618920905056	0.0827394484207	0.171837993342	0.15609066451	0.102693938139	0.0811989991412	0.0735852397215	0.0736226900311
a20	0.0534325122561	0.0520423577153	0.0527029220856	0.0512021881685	0.0776801011402	0.209906307781	0.189134574837	0.10576730138	0.0764961530471	0.0659002065738	0.0657353750104
a8	0.0466536040854	0.0478494055718	0.0488948063619	0.0467332327228	0.0869222670467	0.219681082594	0.200041651612	0.11756784046	0.0675712710157	0.0568956138579	0.0611892420035
a13	0.0478786303618	0.0497105418573	0.050850727454	0.0486421209076	0.0896578056822	0.218756307531	0.194441597204	0.117357810153	0.0651736470052	0.0559613729526	0.0615694393345
a44	0.0491768244539	0.0508432212858	0.051851237818	0.0499844929692	0.0871158218941	0.222574365844	0.195445519068	0.113964796718	0.0629170110017	0.0554876099842	0.0606390797782
</S>	0.0441892002269	0.0463314786429	0.047708288909	0.0453142154846	0.093398975947	0.221839532922	0.203376459534	0.126570448359	0.0609070835009	0.0517120134921	0.0586522798891
