 	i	bambini	piccoli	a	volte	si	vestono	pure	da	soli	</S>
a20	0.863744725	0.00521002285365	0.00209307267	0.00447670925	0.0107705065	0.006619921	0.001581098305	0.017136331	0.002285296445	0.059354273	0.02672800475
a31	0.588847817333	0.00181760309698	0.00201306694	0.00357591739667	0.00841753511	0.0072693628	0.00260804977167	0.0289607803333	0.000817921885667	0.330642393	0.0250295668267
a46	0.492288514778	0.000687860238893	0.0111604833633	0.00484613544556	0.0103134443133	0.00748210806667	0.00293798650389	0.0301861334444	0.000315664482556	0.416176822	0.0236048301856
a20	0.540741944926	0.000231365738398	0.0182034871211	0.00684497748185	0.0135115104378	0.0277263863556	0.00121962994796	0.0582937338148	0.000348505907519	0.152628891667	0.180249540062
a31	0.275172805309	7.81652004327e-05	0.0118080823737	0.00535312369395	0.0871154658126	0.131225138785	0.00222431341599	0.196926487938	0.000390078229173	0.0671082202223	0.222598104021
a29	0.106516236436	4.36293475776e-05	0.00567078932457	0.00422525259798	0.116125158938	0.208019619595	0.0267680448053	0.310132115979	0.00587361380306	0.0994632597408	0.117162258674
a31	0.230407063145	6.74377311925e-05	0.00251301480819	0.00407159153266	0.112629986646	0.146704863198	0.0379600216018	0.244704215326	0.00869580593435	0.12607960158	0.0861663878913
a37	0.266814546382	0.000184569703731	0.0013837828694	0.00338453957755	0.115664687549	0.111831057733	0.0480634238673	0.241962281775	0.00698379731145	0.122944852193	0.0807824509638
a31	0.348217124127	0.00035000991791	0.000921541923133	0.00327684342585	0.067768416183	0.0912872382443	0.0533170342891	0.237819620592	0.00645710283715	0.111480821731	0.0791042393213
a41	0.377619566376	0.00075074525597	0.00111045484104	0.00409889287528	0.0521932537277	0.0906899350814	0.0520241310964	0.278611900197	0.0119347430124	0.076642846577	0.0543235144404
a8	0.135719750325	0.000757184066657	0.000854364957013	0.00265615970176	0.0334228352426	0.103206345027	0.0580220136988	0.404918773399	0.0143425414041	0.123962173859	0.122137837147
a31	0.271814453308	0.00266210520355	0.00375736599567	0.00333213241059	0.0183098310809	0.0635729116757	0.0367408638996	0.308981791133	0.0100903352014	0.140936991286	0.139801202382
a20	0.332582253436	0.00515611873452	0.00738120866522	0.0120315983035	0.046061019027	0.0650236158919	0.0493767006332	0.263261197044	0.0323736430671	0.110654927095	0.076097709794
a0	0.172069456812	0.00818405557817	0.0119879275551	0.0321388601012	0.126454826342	0.089743203964	0.0792525168777	0.257025842348	0.0651458290224	0.0982455356983	0.0597519632647
a29	0.129657465604	0.0146532745261	0.021199321185	0.0650033743671	0.157730603781	0.108558094655	0.100252845626	0.164393480783	0.0944210096741	0.0831355332328	0.0609950467549
a31	0.228694621868	0.0258042771754	0.0314110920617	0.0705602681224	0.108537159594	0.0989150542183	0.092104720542	0.115450710261	0.0890382112247	0.0802560457443	0.059227873585
a24	0.255212817289	0.0345643200585	0.0372112823539	0.0743513393741	0.0800275798647	0.0969406274061	0.100266415514	0.0994874567537	0.0890534650749	0.0768221852481	0.056062539195
a17	0.13061824243	0.0371338676862	0.0389251524513	0.104547696458	0.0904063566216	0.122027815802	0.140546135171	0.0969674322512	0.117249335025	0.0653133117494	0.0562646963983
a8	0.08846278081	0.0424990382287	0.0442122841504	0.124005242153	0.0893681072072	0.131305725267	0.15340554839	0.0855478407504	0.122598261675	0.0624998652498	0.0560953224661
a31	0.14003091027	0.0564414027429	0.0565017113835	0.111628987384	0.0788552840691	0.112519838422	0.129218392797	0.0792092402501	0.106343553892	0.0665573464166	0.0626933291554
a18	0.162416718423	0.0689686009143	0.0680692337945	0.0981144644613	0.0784289363564	0.0972646628073	0.108764334266	0.07984418675	0.093836747964	0.0732445554722	0.0710475397185
a38	0.110750573141	0.0761720903048	0.0760552879315	0.101455860154	0.0845090271188	0.0995611709358	0.111503502755	0.08500884225	0.0969641093213	0.0797069318241	0.0783125465728
a31	0.134026173047	0.0812597454349	0.0803556126438	0.0925181920513	0.0851180690396	0.0915891103119	0.0972941239183	0.08436550575	0.0900058331071	0.0821810672747	0.0812865321909
a8	0.139008604349	0.080751737145	0.0796685942146	0.0921112793504	0.0845641110132	0.0909794667706	0.0973529963061	0.0842583015833	0.0893470877024	0.0814721257582	0.0804857140636
</S>	0.110823727175	0.0796658335725	0.0792390921073	0.0980322846752	0.0867324875066	0.0962066833853	0.106313078153	0.0863973377917	0.0940872938512	0.0818739128791	0.0806283020318
