 	siete	cucinato	</S>
a20	0.999221295	0.000564961222685	0.00021378637
a31	0.999437345	0.000257372382685	0.00030531779
a18	0.999559281667	0.000154925130762	0.000285829223333
a21	0.994564360556	0.000320695720121	0.00511499953444
a37	0.945745286852	0.00606536544004	0.0481894058448
a21	0.742787202284	0.0772221591467	0.179990675282
a31	0.422862679095	0.332529433049	0.244607888427
a18	0.225600901365	0.520325297683	0.254073769476
a31	0.202240747122	0.550644632561	0.247114583159
</S>	0.215541488561	0.582820216281	0.20163826658
