 	le	canzone	si	scrivono	alla	notte	</S>
a20	0.702109185	0.0012555695885	0.0144128329	0.04673864925	0.0249852064	0.032000248	0.1784982785
a31	0.671590751667	0.00272312142183	0.0194266183	0.0602982364167	0.0103412953	0.028400756	0.207219196167
a0	0.675481307222	0.00342849427394	0.0156095204333	0.114362845472	0.0057408237	0.025553759	0.159823252056
a20	0.619153235741	0.00149724556465	0.0137248984778	0.152534121824	0.00274423696667	0.0128440436667	0.197502240685
a31	0.699694311914	0.00072408151155	0.0130979764926	0.0938295452747	0.00395909868889	0.00701273055557	0.181682263562
a13	0.540747014971	0.000394766647183	0.0101370660309	0.0428012995582	0.00941141256296	0.0444976961852	0.352010747854
a38	0.225562679324	0.000427841785728	0.00866980454363	0.0288723829861	0.0205868628543	0.135732050395	0.580148385951
a31	0.127436100775	0.000401761152576	0.00657149818121	0.0245350123287	0.326664077618	0.131937509465	0.38245403765
a20	0.0868080412583	0.000396454631525	0.00428583672707	0.0243465287762	0.452028462539	0.101600659155	0.33053400155
a31	0.0724648470861	0.000456866773842	0.00408118310902	0.0288218585921	0.470575457513	0.105905191385	0.317694582517
a20	0.0556020006954	0.00102315098795	0.00694121956967	0.0250495185307	0.614147872504	0.0914273454617	0.205808916172
a33	0.0421006682318	0.00134178939598	0.00734430079989	0.0185997547436	0.616218120835	0.108279981821	0.206115398724
a31	0.149118769077	0.00283769993199	0.00565225637663	0.0128045901479	0.546879123612	0.127819650607	0.154887897575
a28	0.191259470692	0.012091067644	0.0111614149589	0.0209950710493	0.530914614537	0.121093441869	0.112484948525
a31	0.189215477897	0.022011510548	0.0361304283196	0.0472742246831	0.491574331512	0.10221727229	0.111576784175
a0	0.187409349299	0.031591195516	0.0492250011065	0.0660157462277	0.449251570504	0.10920288743	0.107304260392
a31	0.1733171731	0.0452390998387	0.0761467037022	0.0713479634092	0.433691780168	0.109337739143	0.0909195491307
a3	0.181683381033	0.0624551846129	0.0967750312341	0.0853017411364	0.378457883389	0.105105383048	0.0902213870436
a31	0.222954350344	0.0734894082043	0.095739877078	0.0897445003788	0.33086091113	0.103259521016	0.0839513896812
a46	0.259419726781	0.0907670160681	0.118229505693	0.0994089901263	0.21851420371	0.110103823672	0.103556663227
a31	0.25249047226	0.105093837356	0.122226171898	0.109683636709	0.17909144457	0.118035134557	0.113379271076
a39	0.252282990753	0.113973911119	0.127747093966	0.116350132236	0.148828081523	0.120873144852	0.119944643692
a35	0.179539933584	0.130206580373	0.139916674655	0.131498167412	0.152299233841	0.134132528284	0.132406914564
a31	0.188759914528	0.131088261791	0.138474844885	0.131681760804	0.14388125128	0.133492107761	0.132621918188
</S>	0.215032327264	0.127158398395	0.135663437443	0.127360737902	0.13703688564	0.129220401381	0.128527859094
