 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.9148586	0.08480191	6.116268e-05	7.3222465e-05	0.00012307549	2.4808252e-05	5.722058e-05
ì	0.30201185	0.68677723	0.0010542414	0.0006861169	2.8992194e-05	0.009434037	7.4569252e-06
s	0.2955741	0.6989267	0.0039690593	0.0010017215	0.00036818464	4.9733568e-05	0.00011055297
i	0.26442924	0.73004985	0.0009790616	0.0014375616	9.522656e-06	0.0030932426	1.6054379e-06
f	0.008498096	0.97908896	0.008056608	0.0018298182	0.00092155166	0.00011045945	0.0014945142
a	0.020041145	0.96533537	0.0050439704	0.00459077	3.870534e-05	0.0049285204	2.1670956e-05
m	0.00039609327	0.88032234	0.07732763	0.021873739	0.008342755	0.00063722517	0.011100366
ì	0.006411498	0.93391526	0.029079027	0.020331075	0.0011719507	0.006230027	0.002861197
g	0.00012235921	0.39634013	0.36866975	0.13659364	0.06524818	0.0011542699	0.03187158
l	0.25217423	0.31280375	0.07900587	0.11481684	0.0014697942	0.23327295	0.006456564
i	0.06029795	0.4286562	0.05350497	0.41275567	0.0020063694	0.042735796	4.3029733e-05
a	0.00010695418	0.003778796	0.09702008	0.53329426	0.27975807	0.037515264	0.048526555
e	0.0016962428	0.001068159	0.13335088	0.5986152	0.17539579	0.04926283	0.04061086
n	0.007579414	0.0037863078	0.07340632	0.6080116	0.12542875	0.1645729	0.017214756
è	0.035138417	0.11433479	0.008022905	0.021388894	0.023158094	0.46621597	0.33174095
c	0.0005427337	0.0010427639	0.01876541	0.37475744	0.27032644	0.29158562	0.042979643
h	0.003103547	0.0022331127	0.00070284895	0.0027795844	0.0012317033	0.88298416	0.106965005
i	0.0073908973	0.006342628	0.006416732	0.024751427	0.0049871383	0.9489015	0.0012097132
n	0.00020754841	0.0012640171	0.0041295364	0.012037832	0.14046694	0.46338987	0.37850422
a	0.002717887	0.0067249527	0.0032722333	0.0037924668	0.0010367305	0.9493839	0.033071905
f	0.0006605089	0.0023360006	0.0038425042	0.009766247	0.040074117	0.6054377	0.33788297
à	0.0058942423	0.004702718	0.005881092	0.0026862675	0.0048881765	0.57365054	0.4022969
i	0.00028443176	0.0009292076	0.0012088252	0.0025230625	0.006473828	0.80371636	0.18486428
</S>	0.04740607	0.015182439	0.0004704232	0.00051921397	0.0013821273	0.23524027	0.6997995
