 	lo	sentii	che	arrivò	</S>
t	0.9516397	0.013697927	0.034329947	4.2621206e-05	0.00028976586
o	0.91128695	0.0059984718	0.0074085584	0.075090036	0.0002160894
n	0.14710149	0.65607756	0.19416182	0.0014481585	0.001210896
ì	0.009488991	0.009945601	0.97142124	0.008867957	0.0002762651
k	0.0113992095	0.27118874	0.70386195	0.013426877	0.00012320947
u	0.72132313	0.0011089956	0.26781026	0.009629623	0.00012806265
s	0.0012406574	0.06601049	0.8887189	0.04233803	0.0016918911
a	0.031462517	0.00046247718	0.0076428726	0.9473118	0.013120338
k	0.00040625178	0.05714261	0.118513525	0.41013932	0.4137983
a	0.042676345	0.0022518474	0.044658758	0.7119672	0.19844583
ì	6.78219e-05	0.0054115206	0.0046001584	0.8221586	0.16776189
r	3.8251663e-05	0.0002269166	0.00033003752	0.9782616	0.021143219
t	0.015922166	0.018868675	0.041067272	0.38439474	0.5397472
e	0.021223543	0.012995578	0.008174578	0.9442438	0.013362556
</S>	0.00013664755	0.0020110107	0.00239101	0.07482067	0.92064065
