 	quando	divento	vecchia	vendo	la	casa	in	in	Trieste	e	vengo	qui	da	vivere	al	mare	</S>
m	0.9917263	0.007891484	0.00037715217	2.771203e-06	5.6457884e-07	3.6537708e-07	2.8448758e-07	1.7568225e-07	1.4585376e-07	1.05041096e-07	8.78792e-08	9.1694176e-08	1.0272551e-07	1.032366e-07	1.1527028e-07	7.356558e-08	6.466533e-08
ò	0.99854666	0.0013071377	0.00014196486	1.8746689e-06	6.101135e-07	1.0838799e-06	4.364817e-08	3.1757356e-08	1.10738824e-07	1.01056745e-08	6.226416e-08	1.8703151e-08	8.279441e-09	1.7832143e-08	1.3413455e-08	1.5693118e-07	6.693412e-08
t	0.9531619	0.044666998	0.002123577	4.017573e-05	3.97408e-06	1.6752057e-06	4.0763985e-07	1.8822749e-07	1.8612295e-07	1.1053205e-07	3.8097335e-07	6.662691e-08	5.57627e-08	5.4440008e-08	4.463293e-08	4.689175e-08	1.3233951e-07
t	0.9418679	0.044784993	0.012943331	0.00029366315	4.930008e-05	4.694494e-05	6.487082e-07	9.337567e-07	5.0657422e-06	2.7074023e-07	5.305583e-06	4.441382e-07	3.6301813e-07	5.6054506e-07	4.6471722e-08	3.5283747e-07	2.2817133e-08
e	0.9802878	0.015370612	0.0042872713	4.4814973e-05	4.5312395e-06	3.290965e-06	2.1493048e-07	1.619604e-07	3.8640584e-07	2.67601e-08	2.3233942e-07	3.2653105e-08	1.7334692e-08	3.9258385e-08	2.242681e-08	5.696593e-07	6.0715544e-09
j	0.022764523	0.88562405	0.09049144	0.0009301667	8.92541e-05	3.088413e-05	1.5246468e-05	7.154291e-06	5.694213e-06	3.8383887e-06	5.9015165e-06	2.7145304e-06	2.876427e-06	2.745528e-06	2.9976359e-06	2.5215054e-06	1.7956612e-05
è	0.2850921	0.65282565	0.06091475	0.00063133735	0.00026307767	0.00024102074	1.6895019e-06	1.4726362e-06	1.1788759e-05	5.145064e-07	1.2431727e-05	7.0677197e-07	5.1118593e-07	6.750307e-07	2.7710283e-07	1.0728972e-06	8.2345395e-07
n	0.007359567	0.77095395	0.2178916	0.0033875564	0.00024629408	7.5077776e-05	3.61855e-05	1.0395556e-05	6.851518e-06	3.072437e-06	2.4349174e-06	1.8951821e-06	2.4176213e-06	2.028678e-06	2.532807e-06	1.2351228e-06	1.6896422e-05
n	0.08603363	0.51400304	0.38603663	0.010896195	0.0023061547	0.00040908376	1.6650432e-05	2.1398344e-05	5.7732792e-05	5.9358813e-06	0.00019325186	4.2540414e-06	4.7222047e-06	6.121223e-06	4.0011315e-07	3.9807787e-06	8.0263953e-07
o	0.34694293	0.42466438	0.22484775	0.0034485478	7.143383e-05	1.8919418e-05	1.4551974e-06	7.1814566e-07	5.038019e-07	2.8527722e-07	1.8864783e-06	8.532979e-08	7.100272e-08	8.704962e-08	3.349903e-08	6.65907e-07	1.868376e-07
m	0.0001605672	0.22285393	0.74466735	0.02977274	0.0018573652	0.000403521	0.0001276972	3.589332e-05	2.7060854e-05	1.2241331e-05	3.5025092e-05	5.8497085e-06	4.5608435e-06	5.121131e-06	4.9994665e-06	1.6605785e-06	2.4329802e-05
e	0.002803395	0.78416854	0.20972584	0.0019247149	0.0008284441	0.00046075243	6.20602e-06	4.571648e-06	2.749678e-05	1.784862e-06	3.2739266e-05	2.0639545e-06	1.6190776e-06	1.9003146e-06	1.0146239e-06	3.885128e-06	5.042202e-06
v	0.00012846716	0.0768702	0.84419733	0.072434574	0.004877143	0.0009648885	0.00031027122	6.555406e-05	4.116353e-05	1.3726078e-05	1.4133403e-05	6.8058484e-06	8.388806e-06	7.308855e-06	9.62442e-06	2.1038584e-06	4.8326943e-05
è	0.017478496	0.14984173	0.80570567	0.01912157	0.005772565	0.0015779961	7.5626915e-05	3.613173e-05	0.00012234449	1.5000634e-05	0.00011898089	1.4119087e-05	1.4976892e-05	1.5329208e-05	1.1657076e-05	3.3474596e-05	4.4235676e-05
k	9.606669e-05	0.011480996	0.756069	0.21229309	0.013989952	0.0037613998	0.0016012911	0.00032473044	0.00019360108	5.3081458e-05	4.4169126e-05	1.8704417e-05	1.1523677e-05	1.756635e-05	1.2495409e-05	7.0621513e-07	3.1635776e-05
k	0.0004469737	0.016581837	0.82610375	0.1255683	0.027341891	0.0030464798	0.00010232042	8.1067716e-05	0.00019160431	1.4171947e-05	0.00048805817	9.925461e-06	8.076964e-06	1.1984684e-05	5.7138874e-07	2.221087e-06	6.7457864e-07
i	0.011208336	0.029902136	0.8229973	0.12725879	0.0060846736	0.0024490594	3.562876e-05	1.1088804e-05	1.831187e-05	1.3122717e-06	2.7016878e-05	5.1324156e-07	2.783862e-07	4.5003895e-07	1.1395913e-07	4.690305e-06	3.8472544e-07
a	9.3997e-05	0.0009490391	0.10423145	0.78534675	0.0822782	0.018443072	0.006125515	0.0010257578	0.0006612093	0.00017190362	0.00021361641	6.561873e-05	5.3266718e-05	5.723635e-05	5.9641614e-05	6.624805e-06	0.00021713709
p	0.00093267066	0.00070254726	0.05470117	0.73364645	0.13040298	0.026983552	0.024206812	0.010191365	0.004528984	0.0035435231	0.007632703	0.00060896494	0.00038898393	0.0007940791	0.00031051066	1.4834437e-05	0.00040993173
u	0.004710505	0.020826608	0.18215369	0.43752682	0.2850107	0.05736963	0.0022422636	0.0011943028	0.0035639654	0.00026771633	0.0035566639	0.00033114906	0.00038181475	0.00042101284	6.433325e-05	8.923077e-05	0.00028960884
l	0.00017963933	9.422383e-05	0.004223111	0.8740874	0.093541734	0.014342052	0.009887078	0.002246584	0.0006174793	0.00028178206	0.00032765476	3.704431e-05	4.9178994e-05	5.4761724e-05	2.2122951e-05	1.3164457e-06	6.734056e-06
ò	0.00021657588	0.0028120908	0.047045093	0.22828618	0.49315482	0.20100874	0.007324058	0.002909608	0.01235227	0.00038096475	0.0034535746	0.00029658576	0.00014265715	0.00029333244	7.6373944e-05	1.7551354e-05	0.0002294701
t	0.0004460148	0.0002882301	0.00285622	0.5488554	0.24083705	0.09936104	0.07269922	0.018123806	0.00828028	0.0028794466	0.002069388	0.0007122733	0.00077954197	0.001028809	0.00051146286	1.6312148e-05	0.0002555309
o	9.4152005e-05	0.00083066477	0.036540348	0.40484238	0.34523246	0.16766533	0.024195958	0.008035757	0.0071673505	0.00093790534	0.0028408936	0.0006889159	0.00023566428	0.00058007607	3.255855e-05	6.4151616e-05	1.5459389e-05
s	0.00038560812	0.00022052402	0.0009650161	0.12676483	0.41706452	0.199251	0.19259678	0.032277945	0.018834343	0.0040542614	0.0022639965	0.0012051329	0.0008060335	0.0010037345	0.0007072925	3.0241468e-05	0.0015686913
p	0.0001783014	0.0005578022	0.0037236908	0.05672257	0.5161434	0.36342555	0.013684937	0.006189002	0.029014539	0.0004833173	0.008840072	0.00043759754	0.00014853143	0.0003345738	4.692954e-05	2.4797722e-05	4.4452303e-05
ì	0.049879555	0.0006333713	0.0123160565	0.07202778	0.3851329	0.4541163	0.014954101	0.0030457296	0.00429402	0.00022110868	0.0029104545	4.3423413e-05	2.8514785e-05	1.9774288e-05	4.7415715e-06	0.00032371582	4.8453592e-05
t	0.00067560666	0.00032056152	0.0007948712	0.039433524	0.30298167	0.21213892	0.32344154	0.061765358	0.038275853	0.007948334	0.004006862	0.002242419	0.0014472582	0.0018173365	0.0010396073	4.34029e-05	0.0016268671
i	0.00021522895	0.00022266428	0.0018074075	0.040511124	0.3159422	0.47057518	0.0744013	0.033596847	0.042124458	0.0025021727	0.014062774	0.0023712267	0.00030181042	0.0010188414	2.0279796e-05	0.00032159183	4.779922e-06
a	0.00048666162	0.0001979108	0.00040791673	0.004009782	0.057764776	0.09274585	0.5775295	0.13979892	0.078538455	0.020771142	0.007425284	0.0057922998	0.00382552	0.0045972764	0.0025369672	8.196114e-05	0.0034898506
p	0.0017169217	0.00024314127	0.00035010456	0.0022431908	0.025225975	0.041194912	0.24003547	0.16847683	0.12725478	0.10554353	0.18049136	0.028473943	0.023642655	0.038249385	0.012674836	0.0004632542	0.003719664
u	0.0008792886	0.0004120608	0.0012783372	0.0048617404	0.07084374	0.5063826	0.07164202	0.04527794	0.17587434	0.007839384	0.09117634	0.011641763	0.0035894634	0.005894073	0.000568913	0.0010810443	0.00075695897
T	0.00026992243	0.00015094562	0.00025586333	0.001635264	0.016013814	0.042186145	0.43331283	0.25830463	0.113476165	0.039271984	0.07481144	0.005008465	0.0073704775	0.005182246	0.0022989772	0.00023006398	0.00022074276
r	0.0028159085	0.0019400958	0.0018429572	0.0011851144	0.042832796	0.4203365	0.068189636	0.060862966	0.31621578	0.006956893	0.061074033	0.008213515	0.0013367658	0.004600138	0.0002752869	0.0010716567	0.0002499534
i	0.0019957726	0.00013456531	0.0031097468	0.038757328	0.10304925	0.5458825	0.084977336	0.063532524	0.12968004	0.0058670854	0.02116752	0.0006688955	0.00040697065	0.00045188138	3.909395e-05	0.00019636228	8.317603e-05
è	0.0005880656	7.959635e-05	0.00013501936	0.0003312851	0.0012171089	0.008559963	0.31661576	0.27124012	0.21935248	0.09075249	0.025903998	0.02309623	0.015304552	0.014151783	0.005945439	0.00034506858	0.0063810395
s	0.0005095369	0.0006053105	0.00071100116	0.0005016109	0.004679927	0.04119998	0.13583618	0.13345934	0.2866603	0.073289014	0.16634256	0.03715477	0.038785674	0.040285856	0.017199552	0.017050156	0.005729202
t	0.00047225654	0.00046866635	0.0018742578	0.0039321855	0.030818341	0.2828936	0.08447302	0.14560074	0.34147897	0.014876527	0.052813917	0.014497604	0.004722138	0.013795499	0.00032168327	0.0069270725	3.3536533e-05
e	0.0030267162	0.0027445864	0.009333369	0.0036071816	0.018510586	0.031701207	0.041150603	0.07736133	0.63864505	0.0051378002	0.16062257	0.0024480296	0.00017373088	0.0005097929	1.9700647e-05	0.0049993116	8.3980285e-06
c	0.0020921116	0.00028751875	0.00042871968	0.0006122028	0.0003964593	0.0013895327	0.041963086	0.15504855	0.21382669	0.26783538	0.065688744	0.08541367	0.059396617	0.0548569	0.022542391	0.0027425855	0.025478898
e	0.010638291	0.00052031444	0.0028870448	0.002314382	0.0054177954	0.024205856	0.028978623	0.064128324	0.3528123	0.0680759	0.21982843	0.099668145	0.014746496	0.029951714	0.0016736564	0.067230776	0.0069221086
