 	dovevo	comprare	il	pane	</S>
ì	0.28933373	0.60599256	0.08266336	0.002696087	0.019314308
c	0.44791788	0.5500075	0.0016756845	6.943085e-05	0.0003295389
h	0.06975755	0.92962545	0.0003961483	6.86499e-05	0.0001522713
a	0.11318642	0.88679826	1.4586367e-05	3.9617083e-07	3.613808e-07
n	0.8082997	0.18598035	0.0023775664	0.00031041013	0.0030320028
a	0.046459716	0.9251865	0.026886731	0.00025247125	0.0012146758
a	0.099636614	0.8940189	0.006188832	2.3809223e-05	0.000131852
f	0.14002438	0.6948231	0.15556242	0.0014405802	0.008149543
o	0.004734761	0.82087094	0.124536216	0.0038995435	0.045958634
r	0.028044626	0.9407894	0.030566167	0.00026191768	0.00033787874
à	0.0024002886	0.07573256	0.62801594	0.077371545	0.2164797
s	0.0042076707	0.040543046	0.90720814	0.021826627	0.026214499
o	0.005867556	0.1093526	0.8579637	0.002251407	0.024564713
t	0.00038911897	0.0005799072	0.89495915	0.047578085	0.056493685
o	0.012107644	0.07687578	0.86208576	0.0064714137	0.042459335
t	0.00048045602	0.00050787034	0.47228	0.31239557	0.21433605
s	0.010507455	0.02454735	0.552049	0.08992538	0.32297087
o	0.047466233	0.011051436	0.88023305	0.04175261	0.019496694
m	0.00012982114	0.00023928162	0.0094192065	0.6003113	0.38990042
ì	0.00045048643	0.0014895863	0.11040199	0.30310935	0.5845486
</S>	3.6680925e-05	9.253139e-05	0.005365607	0.7567412	0.23776396
