 	non	li	aspettiamo	più	</S>
e	0.6358975	0.19565487	0.16773355	0.00010703945	0.0006070583
t	0.14487448	0.8201696	0.033858865	0.00020703393	0.00088992785
u	0.12046913	0.8471141	0.019743364	0.0121680405	0.00050543103
s	0.02565258	0.79253274	0.18142153	0.0002512014	0.00014192866
m	0.025574122	0.11149096	0.8551342	0.006745991	0.0010547605
è	0.0012455087	0.23826386	0.7390837	0.021398764	8.195289e-06
n	0.0020651899	0.12286609	0.8618255	0.003728156	0.009515079
u	0.4839496	0.36973467	0.14198922	0.004222323	0.00010415407
m	0.0019128647	0.00371207	0.80305374	0.0753356	0.115985796
e	0.046022855	0.023493752	0.8993682	0.022923993	0.008191183
p	0.0004966404	0.0012495049	0.657311	0.17980787	0.161135
l	0.8134779	0.03827609	0.05226243	0.049692202	0.046291463
è	0.0003989903	0.001322952	0.80342823	0.19352318	0.0013265962
o	0.00037481074	0.00014292602	0.02648972	0.91995984	0.053032655
</S>	0.008261625	0.000507134	0.013430707	0.60429657	0.37350404
