 	non	aveva	da	stare	</S>
e	0.94109994	0.033818632	0.021391775	0.002795172	0.0008945454
n	0.20244893	0.74636865	0.044463027	0.0051768166	0.0015426162
ì	0.006183415	0.83676213	0.04156711	0.1135862	0.0019011472
c	0.0055886684	0.98435783	0.009621064	0.00042565863	6.7639626e-06
h	0.0088956235	0.93047965	0.004277784	0.055803172	0.0005437124
e	0.004759704	0.9407949	0.05335224	0.0010114718	8.160992e-05
n	0.008828126	0.25716254	0.58803993	0.13428499	0.01168448
a	0.16469796	0.12971868	0.0074908948	0.65727633	0.04081614
s	0.0011114288	0.004493837	0.20030004	0.6170841	0.17701063
t	0.031120736	0.016074054	0.03244619	0.036463894	0.88389516
a	0.049926966	0.1466544	0.06578934	0.16512017	0.57250917
s	6.0383216e-05	6.850078e-05	0.0047453586	0.23242073	0.762705
ì	0.001560866	0.00021870811	0.0036814017	0.011603737	0.9829353
</S>	6.664141e-05	7.938423e-05	0.0027581311	0.10806079	0.889035
