 	vuole	pianto	</S>
e	0.99108607	0.004493281	0.004420688
t	0.9887977	0.0029207207	0.008281541
è	0.9897893	0.008656125	0.001554593
l	0.7759363	0.21312939	0.010934266
i	0.9939366	0.005680242	0.00038321072
k	0.013682523	0.7856175	0.20069999
l	0.75543493	0.20337346	0.041191634
a	0.11873791	0.8761771	0.005085014
m	0.00057472626	0.46489546	0.5345298
m	0.11785815	0.6192652	0.26287666
è	0.012660264	0.9629594	0.024380397
n	4.6692538e-05	0.04225271	0.9577006
o	0.77003056	0.14202015	0.08794934
</S>	0.0005065941	0.006393076	0.9931003
