 	sto	e	cucino	</S>
e	0.9957325	0.0037753177	0.00014205811	0.00035013197
s	0.81671906	0.18122824	0.00053440686	0.0015183114
t	0.9417426	0.022281704	0.035803128	0.00017252992
è	0.06564649	0.63578147	0.2984529	0.00011911753
c	0.015550612	0.88611144	0.09231767	0.006020195
e	0.9250589	0.034855552	0.039984636	0.000100905105
m	0.00040654125	0.293594	0.63963866	0.06636079
a	0.31046155	0.11897309	0.55398405	0.01658132
r	9.303012e-05	0.059864238	0.9039105	0.036132094
è	0.0075645316	0.012066755	0.8865443	0.09382447
o	2.2539947e-05	0.0024044742	0.94117755	0.056395385
</S>	0.00081359904	0.0005127734	0.26799974	0.73067385
