 	non	ho	cosa	a	fare	</S>
e	0.8262911	0.105719574	0.06486168	0.002408502	0.00020165658	0.0005175353
n	0.38321584	0.2644502	0.33666313	0.008427746	0.0018063154	0.005436766
è	0.015586248	0.034933273	0.036870647	0.0008711715	0.91001487	0.001723821
c	0.010283977	0.032311447	0.95243853	0.003603095	0.0013442208	1.8819412e-05
h	0.0034960818	0.0136127835	0.03774354	9.031138e-05	0.94491494	0.00014240832
o	0.0004806614	0.0059842877	0.9745116	0.0057163415	0.013284727	2.2468786e-05
t	0.0031687	0.025796223	0.8866539	0.06778702	0.010673765	0.005920464
i	0.14556368	0.025421776	0.02757644	0.0017440293	0.79845846	0.0012356092
k	0.0011324136	0.013496187	0.029360615	0.5933313	0.20024063	0.16243894
à	0.01960627	0.009151408	0.0012001288	0.0039976947	0.92183125	0.044213288
m	0.00031693125	0.002086389	0.0014363357	0.098038256	0.8104187	0.08770332
i	0.0028795607	0.007980741	0.0028551186	0.0034024718	0.9725481	0.010333998
</S>	0.0011492361	0.002524756	0.0013049964	0.014728724	0.17083445	0.80945784
