 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.15140526	0.8342201	0.0035058558	0.008876154	0.00031583937	0.001676792
c	0.4255814	0.574101	0.00012197515	0.00010756593	2.3421393e-05	6.466398e-05
h	0.07133416	0.9272377	4.9714825e-05	3.7115347e-05	0.0013119384	2.928736e-05
a	0.28326783	0.7166434	2.0208916e-05	1.5993012e-06	6.6469765e-05	4.5917199e-07
n	0.85598916	0.14317222	0.00023152605	0.0001728603	3.6359208e-05	0.00039790414
a	0.045967724	0.93005544	0.0025255813	0.002509664	0.018657666	0.00028391188
v	0.06875295	0.93098223	7.3285366e-05	0.00016869424	1.4113284e-05	8.734377e-06
o	0.016260246	0.968857	0.006872446	0.0005377559	0.0069841673	0.00048840226
r	0.019904548	0.97970027	9.714857e-05	0.00028617153	1.0468368e-05	1.369719e-06
à	0.0057307472	0.8370971	0.10562042	0.013427559	0.012410039	0.025714163
s	0.024280244	0.37059733	0.34645474	0.23205934	0.009752239	0.016856123
o	0.007748815	0.9554395	0.009910706	0.010779835	0.012020787	0.0041004545
t	0.0029607587	0.023822917	0.6454391	0.2783397	0.0034173972	0.046020072
s	0.0072541647	0.52851	0.16277826	0.048108224	0.24748546	0.0058638128
o	0.14602804	0.7274764	0.051412348	0.024741499	0.05003495	0.00030673615
m	0.0001523169	0.00021301223	0.6071329	0.35082668	0.008371868	0.033303205
ì	0.0013359642	0.013285988	0.62061995	0.13443382	0.19056863	0.039755683
k	5.2876043e-05	0.00010292262	0.53524345	0.4072291	0.024411082	0.03296057
u	0.0007515306	0.0036806078	0.017845329	0.054467317	0.8884883	0.034766976
à	0.00022975757	0.00031857638	0.15573767	0.57288027	0.13759929	0.13323441
i	1.2740995e-05	3.1103813e-05	0.020983566	0.043646485	0.91046286	0.024863267
m	0.000122022386	9.504826e-05	0.012848385	0.0605244	0.7698235	0.15658663
è	0.00021801518	0.00020295936	0.028841631	0.0077190446	0.91834974	0.04466859
r	1.5169268e-05	4.6898076e-05	0.008112038	0.040493708	0.9003079	0.051024303
i	1.7089933e-05	0.0002836263	0.00034035154	0.0015155737	0.9942159	0.003627575
</S>	0.00010702652	0.00058916985	0.0039873687	0.00948832	0.15479852	0.8310296
