 	non	sono	andati	</S>
e	0.85256934	0.1388357	0.00485233	0.0037426252
n	0.7143562	0.27052176	0.00661917	0.00850296
è	0.014680478	0.7999851	0.18381347	0.0015208878
c	0.030529486	0.9594869	0.009920547	6.3101295e-05
h	0.009034677	0.36877552	0.62207764	0.00011219683
u	0.010613117	0.80227774	0.18640573	0.0007033374
n	0.013003898	0.3746641	0.45546126	0.15687078
e	0.19874062	0.09966372	0.6883315	0.0132641345
p	0.0018532315	0.0013901934	0.8937322	0.10302433
a	0.009137687	0.0037057942	0.9839124	0.0032440647
m	0.0017293458	0.000568585	0.7263923	0.27130976
è	0.000972923	0.0007317093	0.96766025	0.030635148
n	8.2917206e-05	0.0003654909	0.6116218	0.38792977
a	0.34859928	0.011396661	0.2901573	0.34984678
</S>	0.00047000387	0.0003992098	0.018226454	0.9809044
