 	la	sorella	mia	si	non	è	venuta	ancora	ancora	qui	</S>
e	0.9869443	0.012560764	0.00046318458	1.843217e-05	4.26056e-06	4.816819e-06	6.6775584e-07	4.816385e-07	4.7530048e-07	2.7086713e-07	2.3180573e-06
d	0.3463052	0.64840376	0.00332353	0.000770699	0.00015783786	6.424816e-05	0.0006379032	0.00018639535	0.00012257879	1.1991288e-05	1.581536e-05
e	0.20402957	0.7862467	0.009563143	0.00012896811	4.84542e-06	6.316075e-06	1.6600112e-05	1.2673951e-06	2.3019713e-07	1.9472786e-06	3.8718147e-07
r	0.020103743	0.94260186	0.02168803	0.012651801	0.0017479759	0.00031534611	0.00058076944	0.00020069962	0.00010336641	5.7674047e-06	5.947324e-07
f	0.75015503	0.23255304	0.016430363	0.0005202315	0.00010859392	8.722289e-05	8.276057e-05	2.8056596e-05	1.286842e-05	1.1294733e-05	1.065964e-05
ì	0.094044395	0.8755838	0.023519745	0.0034389577	0.0010792845	0.0018375932	0.0003682805	5.029896e-05	1.5608395e-05	5.9145605e-05	2.9072614e-06
m	0.0022359116	0.41295788	0.5174633	0.053367607	0.0091381045	0.00418337	0.00026262042	9.8500226e-05	4.699055e-05	7.583796e-06	0.00023810654
u	0.08774877	0.4640553	0.38081828	0.04602925	0.004404885	0.0016440676	0.012866972	0.002100725	6.997469e-05	0.00025252032	9.297245e-06
s	0.000183473	0.07470238	0.76453185	0.12741514	0.021510622	0.008040198	0.001583587	0.00057060044	0.00030412467	3.1180818e-05	0.0011268825
i	0.08292891	0.18738735	0.6933234	0.022115534	0.0034655936	0.0012016722	0.007275337	0.00094385346	0.0001369195	0.0003848965	0.0008366083
e	5.6291323e-05	0.016452082	0.61908126	0.28037408	0.056586098	0.023722379	0.0017739892	0.00064989226	0.00037483018	2.6270707e-05	0.0009028317
n	0.00042173735	0.011810209	0.1388196	0.472521	0.16271634	0.030219382	0.059208337	0.06369951	0.059113197	0.0005555588	0.000915113
