 	vengono	vestiti	dai	genitori	</S>
è	0.9960788	0.003273405	0.00038861175	3.2119227e-05	0.00022710473
r	0.9958187	0.0041146385	3.7709266e-05	1.432887e-05	1.4625604e-05
k	0.18252738	0.59589344	0.009617476	0.21147464	0.0004870203
u	0.8150386	0.1813308	0.00021637736	0.003412745	1.4504711e-06
t	0.16527967	0.7434012	0.07232085	0.0015926672	0.01740553
t	0.0034602345	0.87752277	0.0021393711	0.11676115	0.000116389754
e	0.021292463	0.97389966	0.0013956116	0.0034109813	1.2698544e-06
n	0.0036598658	0.6448362	0.29038325	0.00094535295	0.06017531
d	0.029832322	0.78628516	0.05157993	0.1300987	0.0022038748
i	0.0048226677	0.9530292	0.012786338	0.029321076	4.0795298e-05
m	0.042788297	0.09377789	0.7834107	0.014569557	0.065453455
è	0.0019661065	0.5393769	0.10452345	0.34908202	0.005051503
n	0.0010664822	0.2543444	0.69974107	0.021929434	0.022918614
i	0.037847854	0.27496943	0.22660233	0.454749	0.0058314404
à	0.011054885	0.00552881	0.7271561	0.122273535	0.1339866
t	0.063544884	0.005334627	0.55773467	0.13764808	0.2357378
t	0.036777858	0.019053835	0.063842766	0.8743086	0.006016994
u	0.050988298	0.012045013	0.5300931	0.399693	0.007180665
s	0.013518807	0.002010806	0.13351552	0.26050606	0.5904488
g	0.0050263163	0.0026992315	0.10807008	0.87513715	0.009067297
e	0.008740779	0.0010030378	0.026974393	0.90049076	0.06279108
n	0.15331216	0.0023238224	0.029687261	0.3331227	0.48155406
i	0.0015016852	0.0002797033	0.5131629	0.4798977	0.005157962
t	0.1647687	0.0007277122	0.013753686	0.33430448	0.4864454
ò	0.0018922015	0.00017389908	0.09310043	0.88075596	0.024077518
r	0.008283184	0.00049442827	0.009680579	0.8379609	0.14358094
u	0.0002964662	4.9478884e-05	0.002097329	0.9970401	0.0005165721
</S>	0.011478395	0.0017325556	0.002906461	0.16706064	0.816822
