 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a	0.9287799	0.064212725	0.005012083	0.0019028684	6.995056e-05	9.293791e-06	3.5403252e-06	2.8512038e-06	2.0726081e-06	4.8024513e-06
m	0.07830624	0.75500107	0.14455147	0.01587285	0.0040807263	0.00080147164	0.00033549967	0.0007350076	0.00018912026	0.00012656482
e	0.11067687	0.4742986	0.12081293	0.013254015	0.27710772	0.0031715638	1.16807905e-05	5.7107286e-06	0.000620709	4.008418e-05
s	0.011388389	0.7596569	0.21622093	0.011262717	0.001080794	0.00025986592	5.0142684e-05	7.408078e-05	5.2918235e-06	8.438502e-07
t	0.024424752	0.75878125	0.17021734	0.018412825	0.02712457	0.0009499325	1.6149435e-05	1.5685102e-05	4.0251012e-05	1.7298047e-05
i	0.005176691	0.7659495	0.13541618	0.070135705	0.021755684	0.001536479	4.2173e-06	6.998526e-07	2.4509594e-05	3.939116e-07
p	0.0003008436	0.24783039	0.7423436	0.0069753416	0.002208205	0.00023099741	4.4375276e-05	4.4281216e-05	2.4034525e-06	1.9591309e-05
à	0.31664312	0.04668701	0.3386496	0.077164985	0.21128151	0.00882125	7.824404e-05	4.988048e-05	0.00046130296	0.0001631757
s	0.00015751887	0.02900273	0.9332204	0.022833187	0.012853084	0.0011061205	0.0003641556	0.00039471965	1.1893997e-05	5.6205798e-05
t	0.013420467	0.010913983	0.69264466	0.114193924	0.14775692	0.020121949	8.998826e-05	8.194943e-06	0.00084918464	6.683533e-07
a	0.03015268	0.01822893	0.33608887	0.09654155	0.5097447	0.009021926	8.753432e-06	1.5815712e-06	0.00021069252	2.6629775e-07
ì	0.0012695565	0.0032766392	0.15804306	0.091648415	0.6525741	0.0569537	0.013966944	0.009038027	0.00027498193	0.01295453
c	0.00024396995	0.0009022288	0.07097429	0.032557275	0.83992666	0.026219824	0.0109898355	0.016787674	0.00019496145	0.0012032121
h	0.14104436	0.0016513369	0.037456345	0.04601168	0.6326196	0.13041554	0.0010579417	6.4671935e-05	0.00960978	6.8652065e-05
e	0.016836708	0.0061800424	0.029093247	0.09514863	0.82227826	0.030310987	2.1763593e-05	4.329241e-06	0.00012570391	3.3336184e-07
t	0.0006355659	0.00090951443	0.0030240584	0.015370271	0.6683339	0.15884851	0.07714493	0.058667354	0.0006382829	0.016427727
e	0.009306263	0.0009725735	0.0026258295	0.16278769	0.68464184	0.13518515	0.00070663437	0.00012107169	0.003450273	0.00020266103
l	0.00011569013	0.00025793765	0.00037558458	0.006331738	0.7116792	0.1849651	0.062339775	0.030633522	0.00036480965	0.0029365644
ì	0.0027810498	0.00044399235	0.0005437986	0.37926498	0.48849717	0.110292494	0.00741719	0.004255507	0.003547313	0.0029565946
s	6.1534454e-05	0.0001663923	0.0001301594	0.0019637037	0.59914774	0.29723874	0.06536163	0.03378588	0.0007527555	0.0013914733
o	0.0014779414	5.3261807e-05	0.00032063492	0.06416714	0.60476786	0.25858387	0.048713267	0.0019978439	0.019892192	2.6019025e-05
n	0.00020398677	0.00024219086	0.00016474593	0.000809595	0.1379757	0.3031583	0.37542322	0.16345426	0.001633283	0.016934792
t	0.005898279	0.00023019586	0.00051563	0.14249289	0.27160433	0.5116513	0.044702817	0.010261669	0.011483973	0.0011588748
a	0.0026390227	0.004630125	0.0060796407	0.0031438493	0.5496106	0.3866324	0.04142501	0.0022977213	0.003480971	6.0627946e-05
à	0.00011873598	0.00017169058	6.2315245e-05	0.000106580395	0.023251712	0.3406181	0.36556223	0.25857714	0.0030563783	0.008475192
l	0.00021296447	8.522783e-05	5.093265e-05	0.0002528232	0.15468587	0.53352845	0.104468085	0.186423	0.018204408	0.0020882597
a	0.0030884913	4.3577806e-05	0.00023783816	0.001928012	0.15197906	0.5043317	0.25176504	0.01517495	0.07137296	7.8303055e-05
t	0.00014152646	0.00023079665	0.00010196869	3.8990176e-05	0.0032439847	0.03318036	0.53910404	0.39657	0.005011069	0.02237726
ù	0.011785849	0.0009792487	0.000842526	0.0017499783	0.012609625	0.25984487	0.3784686	0.181059	0.14616156	0.006498772
c	0.00018691817	0.0006950766	0.00020646463	5.1074174e-05	0.0027389107	0.051450662	0.42374063	0.45838696	0.03427343	0.02826984
h	0.008600855	8.739678e-05	0.00043656823	0.0002423402	0.0064448155	0.09705361	0.18723516	0.19901824	0.41419214	0.086688854
a	0.039409276	0.008645966	0.048719086	0.000279654	0.040257543	0.14083004	0.24885805	0.042187482	0.43022624	0.0005866133
v	0.00032760322	0.000806912	0.00025679366	9.645341e-05	0.0013369282	0.0045391056	0.1505325	0.67823607	0.025333932	0.13853376
à	0.006569822	0.0006262201	0.00147495	0.0015650076	0.0015817545	0.011046866	0.036437888	0.025938705	0.8863887	0.028370103
l	0.00023728306	0.0007611825	0.0006396917	2.048856e-05	0.0014790341	0.006923488	0.13569099	0.50643855	0.30371562	0.044093702
o	0.0009896894	2.9957439e-05	7.081218e-05	1.4619429e-05	0.00018617511	0.003703352	0.051753674	0.029937392	0.91140556	0.0019087107
n	0.0008005917	0.00360707	0.0012067829	0.0004148079	0.004605998	0.0034815855	0.02681585	0.37493506	0.07350042	0.51063186
t	0.0032730126	0.00021507777	0.00066034467	0.0004616601	0.00035062933	0.0019266693	0.005555807	0.005313257	0.96829695	0.0139466
a	0.005820855	0.0073222728	0.023470487	0.00026933744	0.009961449	0.0048812754	0.06968266	0.03746748	0.8362701	0.004854088
</S>	0.0012647059	0.007000364	0.002220208	0.0008139075	0.0043070978	0.0024921226	0.0033102273	0.1272201	0.08628318	0.7650881
