 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
e	0.88978684	0.1099076	0.00027212806	1.5706239e-05	6.1544065e-06	2.7354142e-06	6.077377e-06	7.650949e-07	1.931284e-06
j	0.3388516	0.65738523	0.003196623	0.00032765287	0.000118152624	7.251015e-05	1.9103069e-05	1.1768408e-05	1.7476194e-05
i	0.47181946	0.5269262	0.000840824	0.00020149679	0.00016565682	2.7030214e-06	3.664963e-06	3.658037e-05	3.4795073e-06
n	0.12153562	0.8601264	0.017264105	0.0008365979	0.00013666486	7.913199e-05	1.891172e-05	8.9830746e-07	1.6382664e-06
è	0.16400844	0.8336541	0.0019368136	0.00021302643	0.0001256603	4.9985333e-06	6.1364626e-06	3.541614e-05	1.5360547e-05
k	0.0042881086	0.9694278	0.02399869	0.0018433587	0.00021175761	0.00017868941	4.8032136e-05	8.723763e-07	2.7822857e-06
a	0.17437865	0.775204	0.04160653	0.007123053	0.0015671016	3.988787e-05	8.129457e-06	7.1034345e-05	1.6388982e-06
p	0.0005150255	0.1968192	0.7374415	0.052690048	0.0059086895	0.0031419129	0.0019298554	4.324883e-05	0.0015104652
u	0.33824998	0.45540524	0.1670739	0.032241214	0.00561903	0.00024918295	0.00012833813	0.0008217354	0.00021124328
l	0.0005900001	0.09660986	0.70363677	0.1635733	0.01820772	0.01474684	0.0024224333	4.5456287e-05	0.00016767731
i	0.010053671	0.09378024	0.7125525	0.15322988	0.025498407	0.0012495139	0.0018890459	0.0007703353	0.000976533
z	0.000121943456	0.009344097	0.55033207	0.34278122	0.059738033	0.027213315	0.009637135	7.618476e-05	0.0007560108
z	0.00620167	0.023683462	0.47941035	0.39936766	0.08281442	0.0026372748	0.003042314	0.000886778	0.0019560368
è	0.0044725416	0.18687041	0.2258405	0.40604988	0.15726249	0.011035453	0.004094832	0.0043455637	2.8413291e-05
i	9.0909205e-05	0.0023918287	0.09810805	0.6117435	0.1827422	0.078247845	0.025315529	0.00030154962	0.0010586473
o	0.0017906631	0.006074405	0.03361208	0.44125426	0.14171076	0.3030827	0.06679173	0.0010939346	0.0045894426
s	0.0038344318	0.011480672	0.019226037	0.43794766	0.13857213	0.35047454	0.035296105	0.0018696816	0.0012986866
p	0.0018127679	0.0023060292	0.04026622	0.39750034	0.46571967	0.037975587	0.045136567	0.0054653008	0.0038175369
ì	0.010906161	0.10617701	0.027274286	0.15233585	0.6382924	0.041315436	0.0044279974	0.019148706	0.00012210757
t	0.00025243085	0.0024124947	0.0016405465	0.1493791	0.29586586	0.44150123	0.10280544	0.0027912795	0.0033516844
i	0.0012907885	0.0014354027	0.0067669577	0.1909228	0.7425203	0.03576796	0.01424457	0.0070426823	8.599796e-06
o	6.0543163e-05	0.0005859967	0.00035270795	0.008476386	0.060614854	0.6943812	0.2241036	0.0027073275	0.00871736
à	0.0017397248	0.0044193524	0.00044812539	0.005861764	0.042673767	0.69303286	0.21321936	0.02519883	0.013406205
n	0.0014809924	0.007076725	0.0011298183	0.011020829	0.12948272	0.4696272	0.21046282	0.15668103	0.013037889
t	0.09076524	0.036087554	0.022050997	0.044575557	0.2306265	0.16174985	0.04332735	0.35319158	0.017625397
r	0.036771614	0.033223916	0.011316202	0.025856027	0.04381437	0.6393209	0.10372904	0.10524172	0.0007261515
e	0.0026957868	0.009168713	0.0027130127	0.01413658	0.04474554	0.55170184	0.18040103	0.19310537	0.0013320559
p	0.00033693993	0.0016313791	0.00061157113	0.0006928364	0.0027441962	0.11583123	0.68628955	0.12662402	0.06523824
o	0.002764045	0.001077321	0.0009284431	0.0045044427	0.02280973	0.020513322	0.060935635	0.87645537	0.010011716
d	0.0013817148	0.007218468	0.002791246	0.0022316298	0.0052124737	0.052722726	0.32190058	0.5930552	0.013486035
è	0.0036283876	0.0023039812	0.0015853292	0.004912449	0.013960614	0.008003694	0.058232184	0.89328545	0.014087798
g	0.00026531063	0.0011668438	0.0007044754	0.00050984434	0.0010597993	0.005261266	0.07226901	0.8988669	0.019896593
g	0.0074221767	0.003605374	0.0009234613	0.0035282632	0.005782117	0.03517613	0.073074795	0.8356621	0.034825563
h	0.010459921	0.032002017	0.013275015	0.011541531	0.015965953	0.0018064309	0.058596183	0.7033156	0.15303728
e	0.07264546	0.16206472	0.05274135	0.018366225	0.014511695	0.008397107	0.14900304	0.50384015	0.018430186
</S>	0.013915799	0.02862832	0.0040368503	0.001869381	0.0019164955	0.0016698285	0.04405497	0.3622814	0.54162693
