 	sta	seduta	nel	giardino	</S>
s	0.97504765	0.024148015	0.0006527928	8.665378e-06	0.00014288313
t	0.9616365	0.036943056	0.00011137191	0.0013012758	7.752367e-06
è	0.5679091	0.3929427	0.007519692	0.03161211	1.6407366e-05
i	0.09036722	0.8934023	0.01467594	0.00012939087	0.0014251531
k	0.030124433	0.88008	0.04101422	0.034509007	0.014272348
a	0.0438721	0.9356717	0.0052892324	0.0148200905	0.00034689103
s	0.0007613827	0.7249015	0.25546426	0.008755216	0.010117646
i	0.045971707	0.8385793	0.06894262	0.028212594	0.018293718
m	0.00041897784	0.15881085	0.7482142	0.015263678	0.07729231
m	0.03624727	0.6922684	0.17853981	0.038694274	0.054250255
è	0.0038548843	0.3003198	0.6387683	0.056924816	0.00013210617
n	0.00011726376	0.004448125	0.8047754	0.003061226	0.18759792
i	0.053671967	0.83036864	0.04932077	0.06630417	0.00033436465
s	0.00026319432	0.00219378	0.34354672	0.37444118	0.27955514
t	0.04497174	0.21532814	0.118757986	0.41721871	0.2037234
o	0.01607863	0.056000337	0.20721945	0.7176836	0.0030179908
n	0.00065375457	0.0014301854	0.027363582	0.22341023	0.7471422
g	0.070218965	0.2693997	0.07787006	0.22315918	0.35935208
h	0.033995986	0.15407714	0.0013029199	0.7118792	0.0987448
i	0.024056438	0.059457242	0.08765696	0.80788463	0.020944722
a	0.0050717006	0.002526842	0.002948121	0.37407085	0.61538243
r	0.0086644655	0.0016413619	0.0016498915	0.85922354	0.1288207
d	0.007855983	0.012887012	0.0076471334	0.071253926	0.90035594
ì	0.016245812	0.02659732	0.034438983	0.79312426	0.12959361
n	0.0020995685	0.0024220983	0.0025149824	0.25056252	0.7424008
o	0.0027818454	0.006746366	0.00043061044	0.9755558	0.014485429
</S>	0.0005787931	0.0013803053	0.0016133878	0.01716176	0.97926575
