 	che	non	li	aspettiamo	</S>
n	0.9914963	0.0012033682	0.0068304534	0.00033473386	0.00013519022
a	0.9017066	0.044030804	0.05046116	0.0036640146	0.00013748845
m	0.05197863	0.11497009	0.8281468	0.0032540408	0.0016504689
i	0.8112933	0.029386627	0.1332195	0.02552702	0.0005736057
t	0.010823505	0.062287733	0.920878	0.003962829	0.002047959
u	0.75061256	0.005471394	0.17251381	0.06994827	0.0014538768
s	0.0013725323	0.016566852	0.8944553	0.07786633	0.009738951
m	0.23173553	0.011455437	0.19516079	0.544416	0.017232211
ì	0.001946095	0.00204547	0.9390006	0.056933362	7.448194e-05
n	0.00055126427	0.008536569	0.35700792	0.26258388	0.37132037
o	0.76985705	0.045902118	0.12876157	0.052662887	0.0028163448
m	0.0005227973	0.00091275957	0.01236192	0.7449169	0.24128562
e	0.13244188	0.008545093	0.09232182	0.6929679	0.07372329
</S>	0.00023926438	0.00090036413	0.004520947	0.6553235	0.33901596
