 	è	pericoloso	di	nuotare	di	notte	</S>
è	0.664201	0.33251774	0.0031230284	6.562136e-05	4.9863625e-05	2.1890398e-06	4.0362505e-05
p	0.011389865	0.98498523	0.003504177	9.28561e-05	1.568711e-05	3.916997e-06	8.160749e-06
e	0.05721507	0.92302144	0.013728048	0.004214056	0.00017613727	0.0014834728	0.00016190014
r	0.07096218	0.8680848	0.05777668	0.002987346	0.00014284234	2.7592501e-05	1.8579825e-05
i	0.18007451	0.81164974	0.0075038695	0.00067483325	5.4535612e-05	3.5669647e-05	6.80379e-06
k	0.005349202	0.04818421	0.91487324	0.023070745	0.0028943627	0.0001697996	0.0054583848
o	0.37156656	0.4439806	0.15028016	0.030779604	0.0009793714	0.0009085041	0.001505181
l	0.0011172493	0.07364566	0.8713757	0.047249984	0.0047915624	0.00017252627	0.0016472592
ò	0.55490345	0.049818937	0.26410675	0.11311348	0.0071169105	0.0047568716	0.0061835386
s	0.00035201747	0.02190684	0.82283735	0.13086338	0.020226307	0.00075714925	0.0030569343
o	0.08222279	0.0044808434	0.32808608	0.5708188	0.0051565194	0.009141788	9.3240975e-05
n	0.0002845498	0.004788987	0.50298214	0.38921013	0.08437171	0.0024457348	0.015916772
a	0.2491161	0.0038269428	0.16345347	0.56487936	0.008804407	0.008243378	0.001676404
n	0.0002535777	0.0018985843	0.039913505	0.7449624	0.19605602	0.010557292	0.0063586277
a	0.16608799	0.0022076974	0.10665704	0.56973255	0.0745601	0.034523133	0.046231557
r	0.0007242825	0.0038868708	0.005686298	0.7096975	0.21547373	0.058114935	0.0064164232
è	0.02937308	0.0012771449	0.025386201	0.17867532	0.42220876	0.15204017	0.19103938
t	0.0006420703	0.0060288087	0.0031785984	0.18232805	0.5212511	0.2533904	0.033181023
s	0.0029807633	0.00048479668	0.010350608	0.17838843	0.35294968	0.45342806	0.0014176905
i	0.40684572	0.033254378	0.033175036	0.26887628	0.122209445	0.13286853	0.0027705915
à	0.00044329173	0.006900256	0.0021720054	0.011813455	0.4123144	0.26138145	0.30497515
t	0.0044864677	0.050372265	0.00085628306	0.0076593654	0.13520461	0.6562168	0.14520428
s	0.033950575	0.010419999	0.024879353	0.070369855	0.102654845	0.7535837	0.0041416623
e	0.17365628	0.011702051	0.006640921	0.04220713	0.008417261	0.6964838	0.06089256
n	0.0011524743	0.0160794	0.0019952776	0.0017459807	0.007126547	0.24100631	0.730894
ì	0.014102893	0.014564777	0.007935276	0.013000795	0.006667115	0.8578885	0.08584059
t	0.0016928139	0.013010311	0.0022754355	0.0022397619	0.0028125343	0.63199884	0.34597027
t	0.0037960424	0.0023444644	0.0006828919	0.0040681646	0.0077687176	0.9693544	0.011985246
a	0.04786157	0.015944835	0.003183751	0.008334235	0.0023207907	0.4676309	0.4547239
</S>	0.002248392	0.030865878	0.0014442955	0.00073575875	0.0007871273	0.033993226	0.9299253
