 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.90870523	0.08957999	0.0015193404	2.6464279e-05	8.139826e-05	3.2452463e-05	9.859306e-06	3.0808027e-05	1.4381945e-05
a	0.07293665	0.92402893	0.00060338917	2.856263e-05	0.00094250793	5.323444e-05	3.33247e-05	0.001365464	8.0708405e-06
ì	0.05758295	0.87656677	0.057396673	0.0023368893	0.0054582814	0.00036247144	8.322381e-05	0.0001016903	0.00011109368
s	0.005096823	0.96843976	0.024986157	0.0008610212	0.00047659906	3.0294985e-05	8.3081395e-05	5.216357e-06	2.1152373e-05
s	0.3875922	0.21610889	0.085234545	0.003924126	0.21545562	0.0070800036	0.00072440755	0.083875746	4.392428e-06
e	0.0031393871	0.9917822	0.0027049002	7.7300494e-05	0.0021508636	1.6290092e-05	4.9338523e-06	0.00012393766	6.962732e-08
r	0.00056574563	0.28264815	0.66258794	0.030335277	0.017860018	0.0010535666	0.00093583047	0.0002583806	0.0037551408
e	0.2890281	0.34083387	0.2313085	0.0035032036	0.114915594	0.003260427	0.00043594599	0.016607454	0.00010682048
k	0.00022814763	0.022310631	0.7108188	0.16436648	0.08391943	0.0065058577	0.0052605085	0.0005021688	0.006088069
a	0.13644937	0.06762283	0.30782586	0.03919526	0.40167207	0.0106519675	0.0045191986	0.027904283	0.004159128
e	0.00033439207	0.015488359	0.31983867	0.33510575	0.26365262	0.035144914	0.023508262	0.0020385913	0.00488837
s	0.0022658838	0.018076282	0.030602794	0.34281313	0.117917135	0.0762971	0.39439726	0.010036831	0.0075935195
ò	0.0071774866	0.0021892665	0.04294815	0.03403744	0.78212905	0.059704985	0.023457069	0.043066684	0.0052898964
z	0.0002738702	0.0046421	0.017290927	0.1550824	0.40399095	0.2779044	0.12456963	0.010403252	0.005842394
i	0.002296363	0.00048748055	0.004845207	0.019678226	0.5594776	0.18680678	0.14396252	0.08226851	0.00017725203
k	0.00049503194	0.006422523	0.0046620294	0.07714906	0.08626601	0.37377566	0.38111025	0.02379707	0.04632232
à	0.00589293	0.0010856327	0.03342184	0.013287692	0.6020186	0.13917589	0.07896324	0.12275291	0.0034012685
i	0.0003328729	0.0042023803	0.0026494325	0.013045252	0.05955623	0.47038895	0.35638034	0.077393256	0.016051276
o	0.015530205	0.03517287	0.0029496476	0.0032739358	0.05412745	0.15362404	0.48130903	0.15384129	0.10017157
b	0.028193135	0.082485475	0.006505082	0.0022849634	0.0791329	0.08903152	0.47774413	0.17933744	0.055285327
à	0.022998981	0.005047029	0.022142662	0.012739217	0.018902607	0.048370313	0.47527304	0.29955333	0.094972804
g	0.0013641185	0.015348121	0.0037619504	0.0023257222	0.009496129	0.042239204	0.18699537	0.6852149	0.05325444
n	0.002013824	0.00058110716	0.0013240337	0.0014225455	0.0013737142	0.0025922556	0.02354819	0.67043406	0.29671022
o	0.010163042	0.009843826	0.0013151419	0.0017035563	0.0010912828	0.0011645568	0.047366068	0.9236204	0.0037320484
</S>	0.001623615	0.02133803	0.016574627	0.00433577	0.008732974	0.0067873187	0.017002776	0.24876586	0.674839
