 	il	morto	si	piange	</S>
o	0.98659015	0.013062656	0.00016451521	4.4888708e-05	0.00013777835
a	0.6060622	0.39139324	0.0018801276	0.0002348395	0.00042965356
p	0.014481886	0.9810306	0.0044250637	5.934813e-05	3.1135514e-06
e	0.12983784	0.74684644	0.0012581393	0.12199359	6.4008054e-05
t	0.010083299	0.9526336	0.037025955	0.00023267508	2.4347504e-05
a	0.0151195815	0.9527752	0.0013219278	0.030582223	0.00020101233
m	0.0012169721	0.8719179	0.12248433	0.0031717669	0.001209041
m	0.006061274	0.7984178	0.026984017	0.16558336	0.0029534982
è	0.00032163606	0.9500557	0.031328417	0.01828875	5.4944344e-06
n	0.00018987397	0.21979177	0.5274557	0.021685034	0.23087765
o	0.0061877016	0.91627705	0.026247207	0.051259704	2.8328957e-05
i	0.00025986249	0.0027371107	0.42367256	0.39791086	0.1754196
k	0.010684715	0.0028195304	0.59285957	0.25772205	0.13591418
l	0.0010014486	0.0010786535	0.0022297187	0.9856726	0.010017591
è	0.00029507975	0.0033504989	0.0325397	0.9628814	0.00093336374
e	0.00040154674	0.0005587129	0.014524848	0.86517286	0.11934198
t	0.013893886	0.0012720651	0.015874414	0.38452518	0.58443445
e	0.011089689	0.0016556057	0.0009158692	0.97694075	0.009398072
</S>	0.00025617817	0.000338196	0.004268938	0.8213569	0.17377973
