 	dove	aveva	per	stare	non	aveva	</S>
p	0.96548414	0.020557432	0.008712903	0.0050016814	3.3214226e-05	1.8040308e-05	0.00019254303
u	0.835346	0.1551276	0.0056517455	0.00019681214	1.520409e-05	0.0036465973	1.6172373e-05
ì	0.03616248	0.8640787	0.09350347	0.0054770974	0.00042499346	0.00029370995	5.9550646e-05
c	0.0067955526	0.8140883	0.17013137	0.0056416653	0.0030699102	0.00013822746	0.00013514885
h	0.012787781	0.5634396	0.2741456	0.001813373	3.987954e-05	0.14766046	0.000113309114
e	0.0055940514	0.8599636	0.12988035	0.00072246464	0.000103997554	0.0037257897	9.77625e-06
n	0.00020778115	0.1754068	0.66887176	0.13272503	0.0150787495	0.0010512222	0.0066586067
a	0.07977572	0.11215493	0.5492414	0.0074419873	0.00080691266	0.2501508	0.00042823085
s	3.7565336e-05	0.010174671	0.21511225	0.62265897	0.1293714	0.010964228	0.0116809355
t	0.013306702	0.021126313	0.24837157	0.09431123	0.13362668	0.32716146	0.16209598
a	0.002435692	0.042867646	0.38469082	0.23541023	0.06859189	0.2632284	0.0027753832
s	3.8311056e-05	0.00027561613	0.012348082	0.41362828	0.4514039	0.03879935	0.083506495
ì	0.008443948	0.0033718406	0.03476078	0.06337812	0.40281844	0.13885376	0.3483731
e	7.743734e-05	0.00020038278	0.0041458635	0.14464694	0.50377434	0.24022938	0.1069257
n	0.0016168539	0.0004436236	0.00040916703	0.0027654923	0.49937916	0.445924	0.049461715
ì	0.014091141	0.007268413	0.01098241	0.00046848267	0.0067496323	0.82090825	0.13953167
c	0.00044052428	0.0010511953	0.0023182991	0.0034616296	0.15458474	0.65180165	0.18634197
h	0.00088896306	0.0010188366	0.003697852	0.00020165417	0.003306958	0.86706406	0.12382172
e	0.011180764	0.0042003905	0.019070242	0.00043147738	0.005040865	0.93872017	0.021356177
</S>	0.00025240987	0.0003793067	0.0009384162	0.0019875965	0.008325059	0.11628269	0.8718345
