 	l'	ho	sentito	quando	veniva	</S>
t	0.942377	0.03404328	0.019381126	0.003994731	0.000107465174	9.643208e-05
o	0.7603188	0.1561644	0.041725136	0.006626456	0.03452417	0.0006409646
n	0.11277723	0.318915	0.5569881	0.01022571	0.00042075873	0.0006731292
ì	0.013345416	0.03854001	0.43717954	0.37482172	0.13600048	0.000112914764
k	0.005674533	0.060946997	0.86949456	0.062290914	0.0015519697	4.1011343e-05
u	0.48280093	0.067114316	0.3758247	0.021928025	0.05231112	2.09443e-05
s	0.0013106834	0.037473544	0.7794829	0.16844776	0.012637526	0.0006476107
a	0.054285347	0.003857327	0.009514736	0.03287888	0.8981153	0.0013483894
m	0.0007776713	0.033670243	0.06268119	0.80205554	0.049369387	0.051446
ò	0.006541542	0.01944931	0.0030752288	0.85801864	0.10739148	0.0055238046
t	0.00027626936	0.0085549215	0.004588385	0.6120543	0.19935684	0.17516929
t	0.013165864	0.023351165	0.013765447	0.32827592	0.6199552	0.0014864627
e	0.0053752502	0.029670108	0.0012737804	0.005361484	0.95755875	0.0007607135
è	0.00040082142	0.0018041566	0.0007206994	0.16980019	0.60180783	0.22546627
r	0.00012769239	0.00038507013	0.00012869058	0.021044387	0.94808	0.030234173
k	0.008156604	0.039014813	0.008566952	0.020424284	0.9179992	0.005838069
a	0.0027670676	0.009754436	0.0003348296	0.00022720765	0.9852942	0.0016221872
t	0.00030977285	0.0012921846	0.00062845077	0.014315787	0.45304385	0.53040993
o	0.018859543	0.017437162	0.0031094202	0.005866307	0.8336185	0.121109106
</S>	0.00035549037	0.0013373744	0.00059486437	0.014035166	0.483609	0.5000681
