 	forse	stanno	ancora	svegli	</S>
f	0.99002016	0.009796391	2.268995e-05	2.8895054e-06	0.00015798719
ò	0.95541525	0.044554856	2.2204356e-05	6.9117004e-07	6.9511275e-06
r	0.84404415	0.15532848	0.00017409572	0.00015256721	0.0003007519
s	0.4310519	0.56839687	0.0004893113	4.9735467e-05	1.2173042e-05
i	0.15430626	0.8456306	5.9768805e-05	3.0887422e-06	1.7852204e-07
s	0.002517223	0.9356535	0.013968931	0.0023134719	0.04554694
t	0.039388716	0.9579609	0.0019612703	3.0356938e-05	0.0006587611
è	0.006629325	0.99261475	0.0007402917	1.4422382e-05	1.221143e-06
o	0.0022897276	0.784123	0.060727306	0.0060576233	0.14680238
n	0.013181828	0.034770694	0.7217778	0.22011568	0.010153936
e	0.11567786	0.63772446	0.17525344	0.002322931	0.0690213
a	0.0041827126	0.0036180173	0.3339734	0.65140337	0.006822431
n	0.0102648875	0.0025933632	0.7410562	0.24069822	0.0053872485
k	0.0778462	0.054424968	0.032025307	0.0026019206	0.8331016
ò	0.074177645	0.41560575	0.14047973	0.3161741	0.05356279
r	0.0074273166	0.0004950777	0.04904213	0.93807656	0.004958926
a	0.004159947	0.00572562	0.05681347	0.65735364	0.27594736
a	0.0043619876	0.0020299312	0.007762517	0.80248827	0.18335727
t	0.05517957	0.0022607092	0.013325757	0.79741484	0.13181919
s	0.019410584	0.0046299538	0.017044226	0.047915064	0.9110002
ù	0.35234368	0.06498466	0.12977238	0.050186194	0.40271312
n	0.052718196	0.016776504	0.01268414	0.4011755	0.51664567
n	0.09714551	0.010514319	0.17299351	0.011016242	0.7083304
i	0.71494216	0.10615882	0.14695257	0.005997268	0.02594908
t	0.032936733	0.021357665	0.010214394	0.05680175	0.8786895
i	0.529393	0.20263438	0.023525782	0.008023748	0.23642306
</S>	0.09351898	0.05164271	0.014715371	0.08972056	0.75040233
