 	il	ladro	è	entrato	da	qui	</S>
o	0.9847473	0.01476323	0.00016709726	0.00017769742	0.00012426167	2.3471566e-06	1.8116962e-05
l	0.378471	0.6158299	0.0024076637	0.002620195	0.00046602768	6.568027e-05	0.00013960319
à	0.37960085	0.6028869	0.0014825147	0.014782102	1.945503e-05	0.0011773035	5.079426e-05
d	0.017396294	0.9609992	0.017325638	0.00356943	0.00063233817	1.79043e-05	5.923571e-05
r	0.23459683	0.7255992	0.0010915447	0.012883927	0.00055047986	0.025142716	0.00013528894
o	0.14641865	0.79624474	0.0068094404	0.050223574	0.000116269526	0.0001865453	8.051282e-07
i	0.00043680437	0.06531539	0.7457593	0.09754449	0.06945392	0.0012281118	0.020262001
m	0.0011083673	0.08325729	0.33721825	0.50736535	0.040363062	0.0059779133	0.02470978
b	0.0011275627	0.0068400446	0.04518065	0.94116527	0.0016697091	0.0027894394	0.0012274254
ì	0.0012819152	0.009107317	0.005277603	0.96450657	0.009417101	0.010390404	1.9071122e-05
k	9.066089e-05	0.0022738	0.09968653	0.19611709	0.5944984	0.0014262397	0.10590724
e	0.011186484	0.013198302	0.007656215	0.776192	0.05670958	0.1302863	0.004771063
a	0.00039282438	0.008384139	0.010897963	0.099998385	0.6882003	0.08668717	0.105439246
p	0.006696269	0.022910703	0.005483049	0.24899592	0.16961935	0.48454836	0.061746355
ò	0.027103407	0.004800621	0.0772311	0.33226812	0.016518315	0.29051104	0.2515674
t	0.0032193228	0.0024254464	0.0008081017	0.0015244293	0.0036254758	0.013841626	0.97455555
t	0.0012173017	0.0003144418	0.0045676487	0.080178194	0.05989552	0.8166259	0.037200972
u	0.02924627	0.03162175	0.0030716236	0.0029249422	0.001490565	0.89871496	0.032929916
</S>	0.0011153771	0.010734505	0.004080405	0.008332285	0.0058237724	0.04554345	0.9243702
