 	il	cibo	ee	vuole	mangiato	subito	e	presto	</S>
t	0.979259	0.020347416	0.00034692456	2.5338868e-05	6.421129e-06	8.018309e-06	3.4329862e-06	5.6201395e-07	2.8705592e-06
o	0.5948675	0.39681974	0.0068230424	0.001269269	0.000115742696	1.5706986e-05	6.780069e-06	7.2155744e-05	1.0011533e-05
f	0.28787264	0.6907141	0.020142732	0.0009439907	0.00015950145	0.00011719104	1.2531398e-05	5.9987246e-06	3.140054e-05
à	0.22671157	0.7548013	0.016320594	0.002029479	7.295955e-05	9.3392755e-06	1.1492765e-05	1.7284568e-05	2.5992806e-05
i	0.0034681105	0.92197543	0.07020949	0.003383976	0.0006753326	0.0002189803	5.2463478e-05	1.6169615e-06	1.4617122e-05
e	0.0011315722	0.78939277	0.16285685	0.04298343	0.0023990853	0.00024559756	0.0008486423	1.6392865e-05	0.00012559074
e	0.0009893194	0.45227873	0.39676327	0.13987105	0.0073951595	0.00038050505	0.0021053965	3.4584933e-05	0.00018202329
t	0.00052353466	0.08800481	0.5625011	0.3177471	0.02273099	0.001848092	0.0060616457	6.438321e-05	0.00051833916
è	0.005362136	0.047041513	0.5620749	0.37275785	0.010960968	0.00042197204	0.0002876798	0.00025342504	0.00083956745
l	2.3851522e-05	0.035181597	0.7231134	0.1639483	0.050434075	0.024297914	0.0028179272	2.3966944e-05	0.00015895974
i	0.003418406	0.014445263	0.3340434	0.57996523	0.06723443	0.0002986192	0.00026298058	0.00031937475	1.2310733e-05
f	5.835917e-05	0.0016375402	0.26929325	0.4164999	0.20977135	0.07863489	0.018704936	0.00015474057	0.0052450383
a	0.0034266603	0.007211687	0.11452372	0.82592565	0.046682026	0.0004964773	0.0007135912	0.0005150346	0.00050505274
m	3.0592797e-05	0.0006398112	0.047249377	0.4259226	0.3532748	0.142105	0.028268633	0.00024760477	0.0022615627
è	0.0007342027	0.0007045029	0.02216732	0.76192373	0.20076275	0.005609031	0.0056008603	0.0006652601	0.0018323666
n	9.932511e-06	0.00020757383	0.007863541	0.33758968	0.4267317	0.20128085	0.02319892	0.00016695625	0.0029508562
o	0.020756017	0.013650778	0.04060822	0.41261938	0.4426836	0.044556998	0.010714129	0.011758709	0.0026521476
s	0.000110557725	0.0006436152	0.0022936915	0.032584127	0.37370056	0.3502756	0.22370683	0.0036745067	0.013010377
ù	0.027809072	0.0036158226	0.011411568	0.23186663	0.5212603	0.04011985	0.12477177	0.012749278	0.026395675
b	6.5283544e-05	0.0003730685	0.0010619268	0.011517473	0.275399	0.44974032	0.23954183	0.011358031	0.010942957
i	0.0022427244	0.00022777218	0.002535346	0.052461885	0.7226215	0.09329646	0.10251743	0.023620015	0.0004769033
t	0.00016315187	0.00086189876	0.00156093	0.0019643889	0.036919985	0.20099789	0.66975665	0.029514771	0.05826037
o	0.010660765	0.0010939977	0.0012596678	0.010482646	0.113235414	0.10210274	0.6989634	0.025030574	0.037170757
è	0.00024728186	0.000691517	0.0013148399	0.0014041499	0.01168307	0.053355105	0.38555443	0.48760307	0.05814656
p	0.00037712557	0.00096715917	0.000540858	0.0005374885	0.002420393	0.018480046	0.0720131	0.8701545	0.034509275
r	0.013544088	0.0012028889	0.0026354026	0.0047223247	0.019286038	0.01102236	0.05318501	0.69455796	0.19984391
è	0.0057699704	0.009245049	0.008024502	0.021178957	0.027207524	0.00530036	0.22145197	0.6942794	0.0075423014
s	0.00015337337	0.00037422898	0.00066521537	0.00038452158	0.0006550758	0.0011627703	0.012560207	0.85818094	0.12586366
t	0.0048459745	0.00037968898	0.00036891163	0.00062104285	0.006586079	0.0016820299	0.04581797	0.9360323	0.0036659937
o	0.01482	0.022551553	0.016258318	0.015861174	0.0072853835	0.00061541225	0.058595806	0.8088686	0.05514375
</S>	0.00051936455	0.0011720101	0.0018990429	0.0012802609	0.0014922228	0.0009077621	0.0029023492	0.45414382	0.53568316
