 	il	dito	si	gonfiò	</S>
o	0.99710745	0.0027863102	8.8417284e-05	1.00317875e-05	7.823746e-06
d	0.60923856	0.38185507	0.00866785	0.00013053608	0.00010790039
à	0.14175911	0.85512805	0.0030573674	3.733904e-05	1.809901e-05
t	0.5095003	0.43335825	0.056403358	0.0007174461	2.0686117e-05
t	0.363705	0.6044885	0.031656187	7.365387e-05	7.669924e-05
i	0.010955535	0.98764277	0.0013980153	3.0976223e-06	5.367093e-07
l	0.00025959752	0.0964948	0.8513755	0.027170934	0.024699116
o	0.009680295	0.74597436	0.24278332	0.0011551668	0.00040685566
è	0.00074814627	0.08032702	0.70593935	0.14705189	0.06593368
p	0.001615924	0.69125694	0.15437736	0.10889215	0.04385758
r	0.039183784	0.06126672	0.65880775	0.13987534	0.100866385
i	0.17047633	0.03890303	0.486975	0.3007498	0.0028958775
m	0.00012366014	0.0027426765	0.0046671317	0.657619	0.33484748
m	0.013016514	0.03917287	0.12619737	0.6576502	0.16396308
è	0.0153436465	0.00073613686	0.16364698	0.76301354	0.057259694
n	0.0010622718	0.0041228603	0.0014520795	0.16968082	0.823682
o	0.15828711	0.006247538	0.08314836	0.22465478	0.5276622
</S>	0.00097327377	0.005788482	0.002589031	0.064261496	0.92638767
