 	che	non	li	aspetiamo	</S>
n	0.99147886	0.0011806159	0.0068539735	0.00035141117	0.00013526446
a	0.9015203	0.043729734	0.050468348	0.004148051	0.00013358287
m	0.051362958	0.11269973	0.8309151	0.0033720313	0.0016500759
i	0.80726266	0.02972222	0.133979	0.028472625	0.00056358945
t	0.010846753	0.06127405	0.9216404	0.004220054	0.0020187239
u	0.7424846	0.005450132	0.17279032	0.07786246	0.0014124148
s	0.0013958882	0.016646095	0.89134216	0.08100746	0.009608412
m	0.21940108	0.010995974	0.18660396	0.56719	0.015809009
ì	0.0019153863	0.0019400372	0.9349553	0.061119206	6.999173e-05
n	0.00056120736	0.00850564	0.36140084	0.2594651	0.37006727
o	0.7605202	0.04552923	0.13279712	0.058546416	0.0026070843
m	0.00051088945	0.0008940944	0.012278941	0.75194615	0.23436996
e	0.12028539	0.007883572	0.088176	0.7180071	0.06564793
</S>	0.00023477587	0.00087094906	0.0044612903	0.66740614	0.32702678
