 	vado	cercando	una	macchina	che	consuma	poca	benzina	</S>
p	0.9990866	0.000859581	2.3629731e-05	2.3402707e-05	1.1941044e-06	2.1256153e-06	2.9661296e-06	6.927578e-08	4.3017118e-07
à	0.98337287	0.016476508	0.00014003375	1.192364e-06	6.470412e-07	6.566865e-08	6.0060366e-08	8.407106e-06	2.195794e-07
o	0.9088004	0.0870179	0.003684735	0.00048075718	7.5011217e-06	5.111e-06	2.4220465e-06	1.298791e-07	9.428513e-07
c	0.35361335	0.55269927	0.08700082	0.0053342306	0.00010290272	0.0010691215	0.00016022222	7.0329897e-06	1.3027186e-05
e	0.28961363	0.6845205	0.016361406	0.0021772974	0.0004902148	5.2383635e-05	3.1270363e-05	0.006686759	6.6543056e-05
r	0.075079314	0.682966	0.20675057	0.03328815	0.0004363433	0.0013983394	7.2815346e-05	2.6738023e-06	5.849385e-06
k	0.002458342	0.9722589	0.023276258	0.0014534626	0.00015949567	0.00016802202	9.329172e-05	1.9478546e-05	0.00011278065
è	0.002944313	0.94987226	0.045539808	0.0015634793	3.1790616e-05	2.9369985e-05	1.6899285e-05	1.623496e-06	4.884671e-07
o	0.00023558349	0.68121725	0.25110486	0.063591935	0.0026509087	0.00082786876	0.00026907935	6.744127e-06	9.5821255e-05
n	0.0027402802	0.20332357	0.68933755	0.07319194	0.0057591638	0.022858094	0.0022041146	8.664173e-05	0.00049864105
t	0.002202458	0.75626624	0.23526247	0.005285725	0.00024392207	0.00016488184	0.00019061074	6.0734204e-05	0.00032294367
a	0.00037931476	0.9620847	0.03608442	0.0013983471	3.8968086e-05	8.83055e-06	3.428343e-06	1.7516542e-06	2.7535492e-07
è	0.00010032537	0.04668761	0.60971767	0.3225128	0.013302417	0.0061168796	0.001188295	2.5673926e-05	0.00034831878
n	0.00041583413	0.07479832	0.8466016	0.06223282	0.005964988	0.008865643	0.0007964892	0.00014321001	0.00018106878
a	0.0060774363	0.18834394	0.7281902	0.0714481	0.0033475508	0.0012359854	0.00021572535	0.0010851604	5.5937904e-05
m	3.9136765e-05	0.0010093384	0.11484893	0.8042422	0.059004016	0.01686896	0.0032809994	9.994952e-05	0.00060638785
à	0.009621176	0.1430561	0.6869833	0.12495707	0.014110306	0.007905982	0.007199269	0.0006844345	0.0054823365
k	0.00010690939	0.0019122135	0.107739165	0.76504886	0.10625255	0.013763506	0.004302345	0.00011327367	0.00076114555
i	0.003489284	0.011350922	0.4980737	0.42875707	0.044656828	0.008378164	0.0009428347	0.0042230426	0.00012812814
n	6.873094e-05	0.0001063308	0.004300117	0.7634278	0.17543602	0.04176154	0.012388961	0.0003177615	0.0021926789
a	0.060730834	0.03363707	0.30572686	0.33404553	0.1405616	0.05282422	0.051783558	0.007438979	0.0132513335
k	0.00027330886	0.00019305531	0.0044958014	0.48393714	0.3399674	0.14032857	0.025506595	0.0034326033	0.0018655196
a	0.02215227	0.008141868	0.14523359	0.2737656	0.3279326	0.077524014	0.06568305	0.04003412	0.03953295
k	0.0010198447	0.00062080333	0.0032889512	0.20812096	0.3809101	0.31403527	0.0773997	0.011570715	0.0030336624
u	0.017899707	0.0048886123	0.10967381	0.15583447	0.32599938	0.06861818	0.08553205	0.1903497	0.04120404
n	0.0030786234	0.0017035492	0.0034513013	0.059853893	0.2005406	0.5050081	0.1915578	0.029261792	0.005544308
s	0.049548183	0.0051361336	0.10204315	0.116962366	0.20973304	0.021225115	0.05685262	0.38623345	0.052266005
u	0.03109237	0.009060525	0.0204912	0.13504834	0.3223477	0.12107503	0.21376099	0.112836145	0.034287665
m	0.014403043	0.0022365488	0.0045404765	0.015175362	0.047438703	0.36614552	0.35698122	0.16286133	0.030217718
è	0.049504295	0.0023577975	0.025198424	0.1282312	0.14908393	0.031346567	0.05328116	0.5250367	0.035959918
i	0.003356421	0.0022714492	0.0019037165	0.021506388	0.10029739	0.18940103	0.34967256	0.29344854	0.03814253
o	0.08370874	0.0032737935	0.003544931	0.001332537	0.0035235824	0.05620593	0.117733724	0.5815528	0.14912404
l	0.040967938	0.0019794058	0.009225846	0.0011539002	0.0013959011	0.08629692	0.08881828	0.73394686	0.03621495
ì	0.08370495	0.0025636316	0.00581723	0.034708604	0.02594952	0.0039963797	0.013076722	0.76038784	0.06979511
b	0.012087247	0.002743082	0.0036020337	0.0015975471	0.0021645948	0.016267302	0.033054687	0.7584803	0.17000327
e	0.00021398388	2.1098394e-05	6.5125925e-05	0.00086271	0.0010945724	0.00011679536	2.6324295e-05	0.9972428	0.0003564657
n	0.02526826	0.0032281955	0.0024764985	0.0042928294	0.0047740377	0.03309331	0.022808993	0.32391757	0.5801403
z	0.055565104	0.0014516499	0.0022232994	0.014017781	0.00662281	0.000112344125	5.3022028e-05	0.90186036	0.018093659
ì	0.010944693	0.0037879657	0.0012334028	0.0028186745	0.008693703	0.007624693	0.0016456118	0.95907444	0.00417674
n	0.028300561	0.007673015	0.00323076	0.0016668367	0.0019029157	0.007932453	0.00443931	0.33059806	0.61425614
a	0.0020691312	0.00013090462	0.00037401277	0.0016916627	0.0009392445	6.927718e-05	1.7290422e-06	0.9847419	0.009982043
</S>	0.04209532	0.0059154015	0.0034422297	0.0037727628	0.0043850355	0.018960316	0.006055872	0.0986364	0.81673664
