 	non	ho	cosa	è	da	mangiare	</S>
e	0.7779639	0.14498928	0.07470052	0.0017526394	0.00031964478	0.00010042936	0.00017364058
n	0.28885204	0.33482698	0.35766837	0.008877659	0.0033392066	0.00230397	0.0041318806
è	0.015786292	0.033583175	0.08168401	0.0032258884	0.00022185706	0.8644212	0.0010775365
c	0.013297327	0.045617964	0.9303158	0.008694144	0.00069878896	0.0013703228	5.6314652e-06
h	0.0029457489	0.018349117	0.11849856	0.0014759137	3.6507536e-05	0.8586185	7.579189e-05
o	0.00096075167	0.006711338	0.96428585	0.014267001	0.0009859878	0.012777867	1.1214316e-05
t	0.0034297141	0.029906955	0.8452358	0.106714614	0.0097357	0.0030080914	0.0019691323
i	0.12775257	0.04183869	0.12248186	0.0083706025	0.0016544224	0.6973002	0.0006016523
è	0.0006351991	0.012586662	0.024890985	0.41831964	0.47719762	0.035554014	0.030815879
n	0.0014484341	0.007492151	0.0068947445	0.2920987	0.36651114	0.28065735	0.04489749
a	0.014242789	0.005596904	0.005344801	0.00062160275	0.0060510496	0.9603107	0.0078321565
f	0.0020390877	0.0024221786	0.0016995354	0.03059915	0.5516566	0.25925356	0.15232982
à	0.009588726	0.024796115	0.001268995	0.0040742075	0.02829288	0.81797963	0.113999434
o	0.00058473204	0.0013619505	0.0006863284	0.016502557	0.2399419	0.6555459	0.085376635
</S>	0.011108107	0.0028236841	0.00072819047	0.0022572353	0.029417742	0.5026089	0.45105612
